Frequency (Hz)	Level (dB)
11.718750	-117.532227
23.437500	-117.337990
35.156250	-117.021919
46.875000	-116.595337
58.593750	-116.070641
70.312500	-115.459953
82.031250	-114.766777
93.750000	-114.010078
105.468750	-113.194435
117.187500	-112.323647
128.906250	-111.401550
140.625000	-110.430458
152.343750	-109.409966
164.062500	-108.339859
175.781250	-107.217865
187.500000	-106.041275
199.218750	-104.805809
210.937500	-103.506859
222.656250	-102.138153
234.375000	-100.692360
246.093750	-99.161736
257.812500	-97.532982
269.531250	-95.796471
281.250000	-93.934776
292.968750	-91.929352
304.687500	-89.755562
316.406250	-87.382843
328.125000	-84.770309
339.843750	-81.863831
351.562500	-78.588020
363.281250	-74.833549
375.000000	-70.433151
386.718750	-65.109993
398.437500	-58.349571
410.156250	-48.984192
421.875000	-32.740925
433.593750	-17.759911
445.312500	-17.219555
457.031250	-30.252068
468.750000	-47.892441
480.468750	-57.620285
492.187500	-64.559540
503.906250	-69.991508
515.625000	-74.465820
527.343750	-78.274094
539.062500	-81.591072
550.781250	-84.530106
562.500000	-87.169083
574.218750	-89.563950
585.937500	-91.756302
597.656250	-93.777740
609.375000	-95.653297
621.093750	-97.402802
632.812500	-99.040970
644.531250	-100.582726
656.250000	-102.037888
667.968750	-103.415642
679.687500	-104.723885
691.406250	-105.969612
703.125000	-107.157547
714.843750	-108.293449
726.562500	-109.381310
738.281250	-110.424423
750.000000	-111.425949
761.718750	-112.389603
773.437500	-113.316010
785.156250	-114.207573
796.875000	-115.067070
808.593750	-115.894730
820.312500	-116.692833
832.031250	-117.449005
843.750000	-118.179001
855.468750	-118.872597
867.187500	-119.528618
878.906250	-120.138962
890.625000	-120.703659
902.343750	-121.206787
914.062500	-121.644165
925.781250	-122.000130
937.500000	-122.263458
949.218750	-122.416237
960.937500	-122.447746
972.656250	-122.345909
984.375000	-122.102798
996.093750	-121.720345
1007.812500	-121.199310
1019.531250	-120.551575
1031.250000	-119.783623
1042.968750	-118.908463
1054.687500	-117.932289
1066.406250	-116.867973
1078.125000	-115.716118
1089.843750	-114.478821
1101.562500	-113.158257
1113.281250	-111.749107
1125.000000	-110.247757
1136.718750	-108.645111
1148.437500	-106.930260
1160.156250	-105.089638
1171.875000	-103.105118
1183.593750	-100.953453
1195.312500	-98.604752
1207.031250	-96.020477
1218.750000	-93.147385
1230.468750	-89.912819
1242.187500	-86.211525
1253.906250	-81.883286
1265.625000	-76.665123
1277.343750	-70.074669
1289.062500	-61.043980
1300.781250	-45.946888
1312.500000	-28.653687
1324.218750	-27.028410
1335.937500	-38.356323
1347.656250	-57.764282
1359.375000	-67.886925
1371.093750	-75.015350
1382.812500	-80.561005
1394.531250	-85.112114
1406.250000	-88.976204
1417.968750	-92.335876
1429.687500	-95.308762
1441.406250	-97.975418
1453.125000	-100.393494
1464.843750	-102.605766
1476.562500	-104.644211
1488.281250	-106.534790
1500.000000	-108.296974
1511.718750	-109.948059
1523.437500	-111.499687
1535.156250	-112.964485
1546.875000	-114.350121
1558.593750	-115.666595
1570.312500	-116.917648
1582.031250	-118.111557
1593.750000	-119.251556
1605.468750	-120.342873
1617.187500	-121.386963
1628.906250	-122.389038
1640.625000	-123.349754
1652.343750	-124.271065
1664.062500	-125.156303
1675.781250	-125.998886
1687.500000	-126.812187
1699.218750	-127.581505
1710.937500	-128.309097
1722.656250	-128.992752
1734.375000	-129.627914
1746.093750	-130.202408
1757.812500	-130.718140
1769.531250	-131.151169
1781.250000	-131.501724
1792.968750	-131.746567
1804.687500	-131.880386
1816.406250	-131.898041
1828.125000	-131.781387
1839.843750	-131.533875
1851.562500	-131.159012
1863.281250	-130.662476
1875.000000	-130.051361
1886.718750	-129.339310
1898.437500	-128.532974
1910.156250	-127.642891
1921.875000	-126.672539
1933.593750	-125.628342
1945.312500	-124.518143
1957.031250	-123.332886
1968.750000	-122.077408
1980.468750	-120.746399
1992.187500	-119.333908
2003.906250	-117.833939
2015.625000	-116.238060
2027.343750	-114.533455
2039.062500	-112.705238
2050.781250	-110.736084
2062.500000	-108.602890
2074.218750	-106.276443
2085.937500	-103.718498
2097.656250	-100.877724
2109.375000	-97.683449
2121.093750	-94.034180
2132.812500	-89.776314
2144.531250	-84.659645
2156.250000	-78.231270
2167.968750	-69.511253
2179.687500	-55.379879
2191.406250	-35.182686
2203.125000	-32.459679
2214.843750	-42.255821
2226.562500	-64.030563
2238.281250	-74.585724
2250.000000	-81.914948
2261.718750	-87.579765
2273.437500	-92.210854
2285.156250	-96.132950
2296.875000	-99.536812
2308.593750	-102.544868
2320.312500	-105.240532
2332.031250	-107.682640
2343.750000	-109.915726
2355.468750	-111.972267
2367.187500	-113.878868
2378.906250	-115.654739
2390.625000	-117.319305
2402.343750	-118.883598
2414.062500	-120.359322
2425.781250	-121.754814
2437.500000	-123.080688
2449.218750	-124.341789
2460.937500	-125.544365
2472.656250	-126.693169
2484.375000	-127.793556
2496.093750	-128.845688
2507.812500	-129.856384
2519.531250	-130.826782
2531.250000	-131.756119
2542.968750	-132.645752
2554.687500	-133.513062
2566.406250	-134.323685
2578.125000	-135.100677
2589.843750	-135.838455
2601.562500	-136.540466
2613.281250	-137.182144
2625.000000	-137.773727
2636.718750	-138.297333
2648.437500	-138.756805
2660.156250	-139.123840
2671.875000	-139.392029
2683.593750	-139.557632
2695.312500	-139.593521
2707.031250	-139.499969
2718.750000	-139.280792
2730.468750	-138.928375
2742.187500	-138.451965
2753.906250	-137.865311
2765.625000	-137.164291
2777.343750	-136.375458
2789.062500	-135.497879
2800.781250	-134.545029
2812.500000	-133.516724
2824.218750	-132.417236
2835.937500	-131.241867
2847.656250	-129.997971
2859.375000	-128.679657
2871.093750	-127.279884
2882.812500	-125.795296
2894.531250	-124.211830
2906.250000	-122.523010
2917.968750	-120.711044
2929.687500	-118.760857
2941.406250	-116.650291
2953.125000	-114.347641
2964.843750	-111.818184
2976.562500	-109.011360
2988.281250	-105.858643
3000.000000	-102.262321
3011.718750	-98.074745
3023.437500	-93.057953
3035.156250	-86.785934
3046.875000	-78.356873
3058.593750	-65.056831
3070.312500	-40.835167
3082.031250	-36.992386
3093.750000	-45.383675
3105.468750	-70.657516
3117.187500	-81.690491
3128.906250	-89.234711
3140.625000	-95.026024
3152.343750	-99.742004
3164.062500	-103.725883
3175.781250	-107.177025
3187.500000	-110.223709
3199.218750	-112.950554
3210.937500	-115.419495
3222.656250	-117.675400
3234.375000	-119.752205
3246.093750	-121.677635
3257.812500	-123.470963
3269.531250	-125.149178
3281.250000	-126.727730
3292.968750	-128.216629
3304.687500	-129.620651
3316.406250	-130.970673
3328.125000	-132.236435
3339.843750	-133.449219
3351.562500	-134.606628
3363.281250	-135.720047
3375.000000	-136.782791
3386.718750	-137.804428
3398.437500	-138.790451
3410.156250	-139.722839
3421.875000	-140.645569
3433.593750	-141.523071
3445.312500	-142.380981
3457.031250	-143.151489
3468.750000	-143.926453
