Frequency (Hz)	Level (dB)
10.766602	-33.047699
21.533203	-32.974602
32.299805	-33.010582
43.066406	-32.714531
53.833008	-33.198635
64.599609	-33.110020
75.366211	-33.098804
86.132812	-33.568428
96.899414	-33.538490
107.666016	-33.088127
118.432617	-33.142860
129.199219	-33.460384
139.965820	-33.309425
150.732422	-33.244358
161.499023	-33.159836
172.265625	-32.959995
183.032227	-32.969479
193.798828	-33.366825
204.565430	-33.226776
215.332031	-33.304668
226.098633	-32.912563
236.865234	-32.876507
247.631836	-33.124496
258.398438	-33.576042
269.165039	-33.562191
279.931641	-33.226177
290.698242	-33.060741
301.464844	-33.342541
312.231445	-33.270489
322.998047	-33.291267
333.764648	-33.423588
344.531250	-33.086872
355.297852	-32.802143
366.064453	-32.926929
376.831055	-33.124405
387.597656	-32.917343
398.364258	-32.935638
409.130859	-33.401028
419.897461	-33.514347
430.664062	-33.603249
441.430664	-32.994205
452.197266	-33.344936
462.963867	-33.490173
473.730469	-33.284336
484.497070	-33.484001
495.263672	-33.351475
506.030273	-33.105976
516.796875	-33.618874
527.563477	-33.458164
538.330078	-33.321041
549.096680	-33.471951
559.863281	-33.486443
570.629883	-33.391613
581.396484	-33.211185
592.163086	-33.888680
602.929688	-33.843647
613.696289	-33.495430
624.462891	-33.163139
635.229492	-33.325672
645.996094	-33.696857
656.762695	-33.475830
667.529297	-33.762650
678.295898	-33.871990
689.062500	-33.888638
699.829102	-33.824596
710.595703	-33.504627
721.362305	-33.440548
732.128906	-33.616299
742.895508	-33.720825
753.662109	-33.905003
764.428711	-33.689125
775.195312	-33.390038
785.961914	-33.444935
796.728516	-33.655281
807.495117	-33.849842
818.261719	-34.387115
829.028320	-34.130283
839.794922	-33.842068
850.561523	-33.788452
861.328125	-33.636238
872.094727	-33.492462
882.861328	-33.702930
893.627930	-33.944695
904.394531	-33.951805
915.161133	-33.976704
925.927734	-33.963490
936.694336	-33.884712
947.460938	-33.491947
958.227539	-33.868698
968.994141	-33.809002
979.760742	-33.994965
990.527344	-33.910732
1001.293945	-34.020058
1012.060547	-34.016197
1022.827148	-34.157196
1033.593750	-34.476883
1044.360352	-34.226498
1055.126953	-34.104191
1065.893555	-33.985615
1076.660156	-33.646252
1087.426758	-33.755562
1098.193359	-33.919998
1108.959961	-34.105774
1119.726562	-33.835800
1130.493164	-33.991982
1141.259766	-34.244915
1152.026367	-34.385227
1162.792969	-34.395477
1173.559570	-34.376862
1184.326172	-34.400124
1195.092773	-34.863995
1205.859375	-34.467541
1216.625977	-34.316986
1227.392578	-34.296482
1238.159180	-34.412868
1248.925781	-34.439278
1259.692383	-34.715672
1270.458984	-34.637253
1281.225586	-34.482731
1291.992188	-34.477390
1302.758789	-34.580139
1313.525391	-34.221500
1324.291992	-34.266071
1335.058594	-34.855679
1345.825195	-35.091312
1356.591797	-34.648956
1367.358398	-34.606876
1378.125000	-34.362297
1388.891602	-34.918346
1399.658203	-34.882454
1410.424805	-34.822605
1421.191406	-34.766430
1431.958008	-34.669373
1442.724609	-34.647404
1453.491211	-34.605465
1464.257812	-34.466839
1475.024414	-34.683899
1485.791016	-35.330597
1496.557617	-35.084602
1507.324219	-34.813923
1518.090820	-34.724148
1528.857422	-34.561665
1539.624023	-34.659000
1550.390625	-35.287998
1561.157227	-35.168053
1571.923828	-35.253456
1582.690430	-35.202404
1593.457031	-35.555511
1604.223633	-35.292393
1614.990234	-34.915657
1625.756836	-35.098488
1636.523438	-35.286049
1647.290039	-35.227116
1658.056641	-35.090668
1668.823242	-35.207691
1679.589844	-35.328205
1690.356445	-35.473995
1701.123047	-35.213238
1711.889648	-35.417496
1722.656250	-35.584530
1733.422852	-35.411175
1744.189453	-35.410412
1754.956055	-35.602955
1765.722656	-35.506855
1776.489258	-35.694225
1787.255859	-35.532566
1798.022461	-35.213463
1808.789062	-35.464203
1819.555664	-35.748775
1830.322266	-35.513714
1841.088867	-35.883739
1851.855469	-35.620777
1862.622070	-35.809914
1873.388672	-36.329079
1884.155273	-35.892769
1894.921875	-35.659904
1905.688477	-35.936260
1916.455078	-36.113396
1927.221680	-35.900208
1937.988281	-35.588974
1948.754883	-35.643253
1959.521484	-36.005646
1970.288086	-36.076393
1981.054688	-36.026009
1991.821289	-36.409779
2002.587891	-36.414143
2013.354492	-36.539139
2024.121094	-36.358997
2034.887695	-36.283020
2045.654297	-36.417553
2056.420898	-36.259308
2067.187500	-36.047077
2077.954102	-36.238697
2088.720703	-36.212585
2099.487305	-35.943424
2110.253906	-36.151775
2121.020508	-36.361015
2131.787109	-36.421825
2142.553711	-36.499092
2153.320312	-36.185680
2164.086914	-36.074131
2174.853516	-36.336132
2185.620117	-36.473843
2196.386719	-36.540482
2207.153320	-36.367569
2217.919922	-36.584015
2228.686523	-36.964165
2239.453125	-36.728218
2250.219727	-36.441902
2260.986328	-36.599667
2271.752930	-36.406639
2282.519531	-36.419853
2293.286133	-36.696541
2304.052734	-36.964722
2314.819336	-36.909500
2325.585938	-36.740730
2336.352539	-36.469601
2347.119141	-36.543873
2357.885742	-36.809132
2368.652344	-36.724392
2379.418945	-37.096901
2390.185547	-36.905674
2400.952148	-37.060684
2411.718750	-36.970757
2422.485352	-36.597710
2433.251953	-36.892471
2444.018555	-37.395821
2454.785156	-37.552223
2465.551758	-37.087517
2476.318359	-36.818367
2487.084961	-37.271061
2497.851562	-37.416683
2508.618164	-37.414448
2519.384766	-37.024418
2530.151367	-36.828026
2540.917969	-37.074394
2551.684570	-37.248516
2562.451172	-37.147114
2573.217773	-37.129478
2583.984375	-37.324562
2594.750977	-37.721504
2605.517578	-37.361588
2616.284180	-37.470028
2627.050781	-37.386806
2637.817383	-37.014126
2648.583984	-37.257591
2659.350586	-37.191936
2670.117188	-37.284409
2680.883789	-37.175144
2691.650391	-37.459026
2702.416992	-37.692268
2713.183594	-37.443317
2723.950195	-37.480145
2734.716797	-37.510155
2745.483398	-37.569698
2756.250000	-37.361645
2767.016602	-37.234913
2777.783203	-37.392441
2788.549805	-37.617825
2799.316406	-37.764103
2810.083008	-37.883427
2820.849609	-38.118687
2831.616211	-38.098377
2842.382812	-37.696384
2853.149414	-37.793911
2863.916016	-37.767551
2874.682617	-37.826618
2885.449219	-37.631855
2896.215820	-37.752426
2906.982422	-37.769123
2917.749023	-38.112198
2928.515625	-38.042904
2939.282227	-37.980331
2950.048828	-37.399773
2960.815430	-37.688019
2971.582031	-38.107594
2982.348633	-38.301563
2993.115234	-38.250713
3003.881836	-38.244648
3014.648438	-38.246609
3025.415039	-38.381668
3036.181641	-38.388374
3046.948242	-38.480453
3057.714844	-38.577415
3068.481445	-38.350464
3079.248047	-37.982273
3090.014648	-38.059563
3100.781250	-38.484798
3111.547852	-38.949387
3122.314453	-39.144321
3133.081055	-38.836510
3143.847656	-38.518646
3154.614258	-38.544136
3165.380859	-38.647877
3176.147461	-38.773499
3186.914062	-38.442158
3197.680664	-38.413502
3208.447266	-38.165741
3219.213867	-38.405922
3229.980469	-38.196445
3240.747070	-38.201851
3251.513672	-38.477520
3262.280273	-38.598160
3273.046875	-38.469818
3283.813477	-38.606449
3294.580078	-38.823959
3305.346680	-39.088581
3316.113281	-38.952896
3326.879883	-39.155521
3337.646484	-39.484272
3348.413086	-39.512806
3359.179688	-39.389977
3369.946289	-39.273651
3380.712891	-38.657413
3391.479492	-38.828064
3402.246094	-38.924683
3413.012695	-38.690556
3423.779297	-39.021706
3434.545898	-38.724037
3445.312500	-38.788563
3456.079102	-38.790653
3466.845703	-38.901039
3477.612305	-39.015400
3488.378906	-39.059093
3499.145508	-38.785084
3509.912109	-38.729935
3520.678711	-39.087883
3531.445312	-39.021908
3542.211914	-39.181767
3552.978516	-39.211777
3563.745117	-39.309395
3574.511719	-39.026211
3585.278320	-38.935436
3596.044922	-38.778530
3606.811523	-38.763409
3617.578125	-39.197693
3628.344727	-39.196651
3639.111328	-38.996220
3649.877930	-39.035522
3660.644531	-39.459290
3671.411133	-39.525551
3682.177734	-39.541813
3692.944336	-39.244633
3703.710938	-39.248661
3714.477539	-39.351780
3725.244141	-39.682045
3736.010742	-39.752357
3746.777344	-39.345070
3757.543945	-39.136223
3768.310547	-39.573952
3779.077148	-39.546337
3789.843750	-39.457779
3800.610352	-40.051727
3811.376953	-40.009930
3822.143555	-39.271782
3832.910156	-39.229916
3843.676758	-39.316612
3854.443359	-39.735252
3865.209961	-39.957497
3875.976562	-39.508766
3886.743164	-39.642731
3897.509766	-39.812450
3908.276367	-39.632271
3919.042969	-39.797211
3929.809570	-40.168747
3940.576172	-39.993004
3951.342773	-40.035393
3962.109375	-39.841759
3972.875977	-39.510456
3983.642578	-39.802006
3994.409180	-40.274208
4005.175781	-40.090439
4015.942383	-39.837208
4026.708984	-39.977989
4037.475586	-39.894348
4048.242188	-39.847420
4059.008789	-39.895164
4069.775391	-40.198620
4080.541992	-40.242100
4091.308594	-40.055790
4102.075195	-39.955833
4112.841797	-40.083305
4123.608398	-40.049980
4134.375000	-40.019154
4145.141602	-39.910912
4155.908203	-40.160538
4166.674805	-39.855301
4177.441406	-40.201771
4188.208008	-40.402386
4198.974609	-40.285709
4209.741211	-40.139355
4220.507812	-40.362450
4231.274414	-41.157524
4242.041016	-40.806858
4252.807617	-40.320442
4263.574219	-40.454025
4274.340820	-40.436394
4285.107422	-40.276611
4295.874023	-40.513958
4306.640625	-40.663727
4317.407227	-40.789116
4328.173828	-40.490486
4338.940430	-40.525822
4349.707031	-40.776760
4360.473633	-40.739380
4371.240234	-40.831448
4382.006836	-40.488743
4392.773438	-40.779907
4403.540039	-40.640224
4414.306641	-40.859108
4425.073242	-40.877090
4435.839844	-40.869595
4446.606445	-40.985443
4457.373047	-40.615906
4468.139648	-40.648628
4478.906250	-40.692108
4489.672852	-40.590763
4500.439453	-40.782349
4511.206055	-40.737019
4521.972656	-40.884758
4532.739258	-41.180317
4543.505859	-40.766747
4554.272461	-40.666565
4565.039062	-41.017380
4575.805664	-40.918453
4586.572266	-40.874886
4597.338867	-41.014484
4608.105469	-40.870369
4618.872070	-40.555656
4629.638672	-40.861046
4640.405273	-41.022121
4651.171875	-40.969818
4661.938477	-40.823700
4672.705078	-41.064594
4683.471680	-41.243458
4694.238281	-41.417915
4705.004883	-41.230885
4715.771484	-41.091290
4726.538086	-40.756062
4737.304688	-40.492687
4748.071289	-40.630901
4758.837891	-40.993710
4769.604492	-41.057205
4780.371094	-41.408268
4791.137695	-41.004482
4801.904297	-40.913628
4812.670898	-40.754944
4823.437500	-41.324238
4834.204102	-41.724049
4844.970703	-41.374420
4855.737305	-41.116016
4866.503906	-41.229191
4877.270508	-41.006424
4888.037109	-40.956474
4898.803711	-41.402470
4909.570312	-41.581593
4920.336914	-41.256927
4931.103516	-41.307018
4941.870117	-41.344326
4952.636719	-41.524555
4963.403320	-41.374844
4974.169922	-41.633137
4984.936523	-41.865433
4995.703125	-41.743843
5006.469727	-41.459137
5017.236328	-41.525314
5028.002930	-41.398144
5038.769531	-41.362755
5049.536133	-41.613522
5060.302734	-41.880020
5071.069336	-41.516579
5081.835938	-41.503048
