Frequency (Hz)	Level (dB)
10.766602	-33.146339
21.533203	-33.115238
32.299805	-33.267319
43.066406	-32.698341
53.833008	-33.214603
64.599609	-33.317520
75.366211	-33.345284
86.132812	-33.436546
96.899414	-32.988941
107.666016	-32.768623
118.432617	-32.990738
129.199219	-33.486877
139.965820	-33.262592
150.732422	-33.182690
161.499023	-32.832691
172.265625	-32.966671
183.032227	-33.177292
193.798828	-33.122860
204.565430	-32.982235
215.332031	-33.011387
226.098633	-32.949421
236.865234	-32.701023
247.631836	-32.880093
258.398438	-33.447830
269.165039	-33.482285
279.931641	-33.462753
290.698242	-33.107212
301.464844	-33.160969
312.231445	-33.271568
322.998047	-33.473034
333.764648	-33.429836
344.531250	-32.759354
355.297852	-32.758202
366.064453	-33.001423
376.831055	-33.289204
387.597656	-32.483440
398.364258	-32.536476
409.130859	-33.070499
419.897461	-33.365311
430.664062	-33.402222
441.430664	-33.147884
452.197266	-33.046917
462.963867	-33.125370
473.730469	-33.222324
484.497070	-33.740028
495.263672	-33.237080
506.030273	-33.282967
516.796875	-33.318104
527.563477	-33.174934
538.330078	-33.002686
549.096680	-33.102871
559.863281	-33.234467
570.629883	-33.452267
581.396484	-33.225231
592.163086	-33.222469
602.929688	-33.204720
613.696289	-33.188965
624.462891	-33.326393
635.229492	-33.171730
645.996094	-33.028324
656.762695	-32.861797
667.529297	-33.467560
678.295898	-33.724068
689.062500	-33.668182
699.829102	-33.259335
710.595703	-32.851490
721.362305	-32.802998
732.128906	-32.806892
742.895508	-33.012970
753.662109	-33.363174
764.428711	-33.483356
775.195312	-33.087608
785.961914	-32.625538
796.728516	-32.711098
807.495117	-33.328400
818.261719	-33.362453
829.028320	-33.240406
839.794922	-32.965309
850.561523	-33.215408
861.328125	-32.967140
872.094727	-32.594658
882.861328	-32.804443
893.627930	-33.060070
904.394531	-33.272102
915.161133	-33.274677
925.927734	-33.123940
936.694336	-32.812534
947.460938	-32.556519
958.227539	-32.674870
968.994141	-32.787453
979.760742	-33.007339
990.527344	-32.733547
1001.293945	-32.909679
1012.060547	-33.106724
1022.827148	-33.225937
1033.593750	-33.297260
1044.360352	-33.167480
1055.126953	-33.070675
1065.893555	-32.719563
1076.660156	-32.551010
1087.426758	-32.752583
1098.193359	-33.041462
1108.959961	-33.329739
1119.726562	-33.302021
1130.493164	-32.951462
1141.259766	-32.901299
1152.026367	-33.088570
1162.792969	-32.977119
1173.559570	-32.959236
1184.326172	-33.008347
1195.092773	-33.460346
1205.859375	-33.362782
1216.625977	-33.141075
1227.392578	-32.974094
1238.159180	-32.984299
1248.925781	-32.926708
1259.692383	-32.824718
1270.458984	-32.949928
1281.225586	-33.103226
1291.992188	-33.193810
1302.758789	-33.309681
1313.525391	-33.000816
1324.291992	-32.540966
1335.058594	-33.116978
1345.825195	-33.561779
1356.591797	-33.351696
1367.358398	-32.989925
1378.125000	-32.613449
1388.891602	-33.372231
1399.658203	-33.318954
1410.424805	-32.738190
1421.191406	-32.363361
1431.958008	-32.508911
1442.724609	-32.880577
1453.491211	-33.055431
1464.257812	-32.769295
1475.024414	-33.009144
1485.791016	-33.348339
1496.557617	-33.060463
1507.324219	-32.854362
1518.090820	-32.519875
1528.857422	-32.314606
1539.624023	-32.460548
1550.390625	-33.429405
1561.157227	-33.197723
1571.923828	-33.255894
1582.690430	-33.467541
1593.457031	-33.595570
1604.223633	-33.241196
1614.990234	-32.665432
1625.756836	-33.001778
1636.523438	-33.230770
1647.290039	-33.260002
1658.056641	-32.948902
1668.823242	-33.195080
1679.589844	-33.074436
1690.356445	-33.230564
1701.123047	-32.908955
1711.889648	-33.100853
1722.656250	-33.017563
1733.422852	-32.789852
1744.189453	-32.952026
1754.956055	-32.870876
1765.722656	-32.937805
1776.489258	-33.561779
1787.255859	-33.447292
1798.022461	-32.766762
1808.789062	-32.645390
1819.555664	-33.123890
1830.322266	-32.888416
1841.088867	-33.204086
1851.855469	-32.808304
1862.622070	-32.662510
1873.388672	-33.242355
1884.155273	-33.068165
1894.921875	-33.011257
1905.688477	-33.535618
1916.455078	-33.620224
1927.221680	-33.185883
1937.988281	-32.787392
1948.754883	-32.682117
1959.521484	-33.358643
1970.288086	-33.389992
1981.054688	-33.487152
1991.821289	-33.719379
2002.587891	-33.793793
2013.354492	-33.519024
2024.121094	-33.615963
2034.887695	-33.671741
2045.654297	-33.592300
2056.420898	-32.956875
2067.187500	-32.851498
2077.954102	-33.295547
2088.720703	-33.172886
2099.487305	-32.869659
2110.253906	-32.927475
2121.020508	-33.819393
2131.787109	-33.358467
2142.553711	-33.089359
2153.320312	-33.133442
2164.086914	-32.763866
2174.853516	-32.869858
2185.620117	-32.910793
2196.386719	-32.933620
2207.153320	-32.837234
2217.919922	-33.296848
2228.686523	-33.718929
2239.453125	-33.682121
2250.219727	-33.199993
2260.986328	-33.437641
2271.752930	-33.177769
2282.519531	-33.136795
2293.286133	-33.344196
2304.052734	-33.474518
2314.819336	-33.266144
2325.585938	-32.662895
2336.352539	-32.754295
2347.119141	-33.066227
2357.885742	-33.129879
2368.652344	-32.677734
2379.418945	-33.045647
2390.185547	-32.960224
2400.952148	-33.195103
2411.718750	-33.185787
2422.485352	-33.231873
2433.251953	-33.383801
2444.018555	-33.439548
2454.785156	-33.639763
2465.551758	-33.044521
2476.318359	-32.530266
2487.084961	-33.193573
2497.851562	-33.278526
2508.618164	-33.296478
2519.384766	-32.891361
2530.151367	-32.461975
2540.917969	-32.854004
2551.684570	-32.843605
2562.451172	-33.000359
2573.217773	-32.848969
2583.984375	-32.853539
2594.750977	-33.320789
2605.517578	-33.483955
2616.284180	-33.313210
2627.050781	-32.997990
2637.817383	-32.684998
2648.583984	-32.816700
2659.350586	-32.701431
2670.117188	-33.139149
2680.883789	-32.746067
2691.650391	-33.064167
2702.416992	-33.366001
2713.183594	-32.873932
2723.950195	-32.747162
2734.716797	-32.991508
2745.483398	-33.219723
2756.250000	-33.008835
2767.016602	-32.930084
2777.783203	-32.752892
2788.549805	-32.643280
2799.316406	-32.925056
2810.083008	-33.547161
2820.849609	-33.554012
2831.616211	-33.378433
2842.382812	-32.912430
2853.149414	-33.236588
2863.916016	-33.064651
2874.682617	-32.861805
2885.449219	-32.976131
2896.215820	-33.124474
2906.982422	-32.958492
2917.749023	-33.297878
2928.515625	-33.554543
2939.282227	-32.913868
2950.048828	-32.470066
2960.815430	-32.998367
2971.582031	-33.217197
2982.348633	-33.262470
2993.115234	-33.060455
3003.881836	-33.210575
3014.648438	-33.535091
3025.415039	-33.421940
3036.181641	-33.498684
3046.948242	-33.667603
3057.714844	-33.692001
3068.481445	-33.401268
3079.248047	-33.122658
3090.014648	-32.956139
3100.781250	-33.208183
3111.547852	-33.685661
3122.314453	-33.876057
3133.081055	-33.771420
3143.847656	-33.542461
3154.614258	-33.250114
3165.380859	-33.466003
3176.147461	-33.277466
3186.914062	-33.126068
3197.680664	-32.695240
3208.447266	-32.806293
3219.213867	-33.066879
3229.980469	-32.854919
3240.747070	-32.520817
3251.513672	-32.742748
3262.280273	-33.221672
3273.046875	-32.946434
3283.813477	-32.722061
3294.580078	-33.057438
3305.346680	-33.377426
3316.113281	-33.483585
3326.879883	-33.478188
3337.646484	-33.732346
3348.413086	-33.838661
3359.179688	-33.631329
3369.946289	-33.325729
3380.712891	-33.070148
3391.479492	-33.183781
3402.246094	-33.075294
3413.012695	-33.277584
3423.779297	-33.421383
3434.545898	-33.158634
3445.312500	-32.978519
3456.079102	-33.129547
3466.845703	-33.245087
3477.612305	-33.024498
3488.378906	-32.796501
3499.145508	-32.627777
3509.912109	-32.564953
3520.678711	-32.986313
3531.445312	-33.159687
3542.211914	-33.197208
3552.978516	-33.199898
3563.745117	-33.458920
3574.511719	-32.740978
3585.278320	-32.314182
3596.044922	-32.555099
3606.811523	-32.651772
3617.578125	-33.028851
3628.344727	-33.076157
3639.111328	-32.852859
3649.877930	-33.044605
3660.644531	-33.384003
3671.411133	-33.216709
3682.177734	-33.186150
3692.944336	-33.190769
3703.710938	-32.654369
3714.477539	-33.012348
3725.244141	-33.432236
3736.010742	-33.432682
3746.777344	-33.215134
3757.543945	-32.710331
3768.310547	-32.953739
3779.077148	-33.211819
3789.843750	-33.195030
3800.610352	-33.717388
3811.376953	-33.499107
3822.143555	-32.668549
3832.910156	-32.685562
3843.676758	-33.031124
3854.443359	-33.315845
3865.209961	-33.642788
3875.976562	-33.109165
3886.743164	-33.079205
3897.509766	-33.108028
3908.276367	-32.934593
3919.042969	-33.186749
3929.809570	-33.618622
3940.576172	-33.646461
3951.342773	-33.650055
3962.109375	-33.174549
3972.875977	-33.495811
3983.642578	-33.290234
3994.409180	-33.271389
4005.175781	-33.478329
4015.942383	-33.310776
4026.708984	-33.434711
4037.475586	-32.745865
4048.242188	-32.448967
4059.008789	-33.229134
4069.775391	-33.126038
4080.541992	-33.031715
4091.308594	-32.955112
4102.075195	-33.113403
4112.841797	-32.966103
4123.608398	-32.897423
4134.375000	-33.032642
4145.141602	-32.646072
4155.908203	-32.877167
4166.674805	-33.607899
4177.441406	-33.330242
4188.208008	-33.010258
4198.974609	-32.840046
4209.741211	-32.835224
4220.507812	-33.217827
4231.274414	-33.764851
4242.041016	-33.260414
4252.807617	-32.906563
4263.574219	-33.316658
4274.340820	-33.184044
4285.107422	-32.874763
4295.874023	-33.135532
4306.640625	-33.313679
4317.407227	-33.320789
4328.173828	-33.546673
4338.940430	-33.431335
4349.707031	-33.055317
4360.473633	-33.110874
4371.240234	-33.178410
4382.006836	-33.220825
4392.773438	-33.184784
4403.540039	-33.410049
4414.306641	-33.327194
4425.073242	-33.375946
4435.839844	-33.709549
4446.606445	-33.488548
4457.373047	-33.317745
4468.139648	-33.294094
4478.906250	-33.151154
4489.672852	-32.921913
4500.439453	-32.803417
4511.206055	-32.915379
4521.972656	-33.121758
4532.739258	-33.011845
4543.505859	-32.812546
4554.272461	-32.450142
4565.039062	-32.824322
4575.805664	-33.224331
4586.572266	-33.115555
4597.338867	-33.283054
4608.105469	-33.170223
4618.872070	-32.939617
4629.638672	-33.138489
4640.405273	-33.039307
4651.171875	-32.797508
4661.938477	-33.233536
4672.705078	-33.545811
4683.471680	-33.654152
4694.238281	-33.716007
4705.004883	-33.613007
4715.771484	-33.343266
4726.538086	-32.680458
4737.304688	-32.531719
4748.071289	-32.707771
4758.837891	-33.200100
4769.604492	-33.241295
4780.371094	-33.149940
4791.137695	-32.671329
4801.904297	-33.022957
4812.670898	-32.908134
4823.437500	-33.553379
4834.204102	-33.460968
4844.970703	-33.221508
4855.737305	-32.835354
4866.503906	-32.914997
4877.270508	-32.810410
4888.037109	-32.998344
4898.803711	-33.239391
4909.570312	-33.203762
4920.336914	-33.063248
4931.103516	-33.021961
4941.870117	-32.838055
4952.636719	-32.871250
4963.403320	-32.805813
4974.169922	-32.963436
4984.936523	-33.447502
4995.703125	-33.587265
5006.469727	-33.613003
5017.236328	-33.322659
5028.002930	-32.908028
5038.769531	-32.842793
5049.536133	-33.363434
5060.302734	-33.673405
5071.069336	-32.975742
5081.835938	-33.285610
5092.602539	-33.529354
5103.369141	-33.192879
5114.135742	-32.839745
5124.902344	-32.863777
5135.668945	-33.403522
5146.435547	-33.530590
5157.202148	-33.294037
5167.968750	-33.023045
5178.735352	-33.075180
5189.501953	-32.999008
5200.268555	-33.109749
5211.035156	-33.214531
5221.801758	-33.018490
5232.568359	-32.759758
5243.334961	-32.977581
5254.101562	-32.960587
5264.868164	-33.454266
5275.634766	-33.325356
5286.401367	-33.324509
5297.167969	-33.044430
5307.934570	-32.779793
5318.701172	-33.380524
5329.467773	-33.179440
5340.234375	-33.198017
5351.000977	-33.072220
5361.767578	-32.749763
5372.534180	-32.890461
5383.300781	-33.125881
5394.067383	-33.592453
5404.833984	-33.240814
5415.600586	-33.151470
5426.367188	-33.472618
5437.133789	-33.171059
5447.900391	-33.118069
5458.666992	-33.105145
5469.433594	-33.428398
5480.200195	-33.189487
5490.966797	-33.455341
5501.733398	-33.168259
5512.500000	-33.235889
5523.266602	-33.015694
5534.033203	-33.076962
5544.799805	-33.021793
5555.566406	-32.992264
5566.333008	-32.890701
5577.099609	-33.225090
5587.866211	-33.568966
5598.632812	-33.097305
5609.399414	-33.342430
5620.166016	-33.320229
5630.932617	-33.008087
5641.699219	-32.464420
5652.465820	-32.821583
5663.232422	-33.414314
5673.999023	-33.461773
