Frequency (Hz)	Level (dB)
10.766602	-111.332062
21.533203	-152.238403
32.299805	-152.118164
43.066406	-151.915619
53.833008	-152.534851
64.599609	-151.898483
75.366211	-151.625687
86.132812	-151.972733
96.899414	-151.954147
107.666016	-151.887299
118.432617	-151.342850
129.199219	-151.758789
139.965820	-151.644653
150.732422	-151.431061
161.499023	-151.453079
172.265625	-151.428696
183.032227	-151.310532
193.798828	-150.872314
204.565430	-150.883438
215.332031	-150.750488
226.098633	-150.308929
236.865234	-149.719193
247.631836	-150.218399
258.398438	-150.533310
269.165039	-149.663422
279.931641	-149.859634
290.698242	-149.919418
301.464844	-149.682938
312.231445	-149.530716
322.998047	-149.369720
333.764648	-149.059998
344.531250	-149.005341
355.297852	-148.794388
366.064453	-148.592026
376.831055	-148.527451
387.597656	-148.275238
398.364258	-148.063599
409.130859	-147.753784
419.897461	-146.898941
430.664062	-147.044846
441.430664	-146.702698
452.197266	-145.874649
462.963867	-146.681839
473.730469	-146.735718
484.497070	-146.299683
495.263672	-146.274567
506.030273	-146.087051
516.796875	-145.774643
527.563477	-145.550339
538.330078	-145.338242
549.096680	-145.148041
559.863281	-144.862656
570.629883	-144.723724
581.396484	-144.363144
592.163086	-144.172134
602.929688	-143.875732
613.696289	-143.707764
624.462891	-143.498917
635.229492	-143.216827
645.996094	-142.898712
656.762695	-142.738419
667.529297	-142.421936
678.295898	-142.208557
689.062500	-141.941254
699.829102	-141.645416
710.595703	-141.382782
721.362305	-141.147247
732.128906	-140.894547
742.895508	-140.538864
753.662109	-140.339081
764.428711	-140.009460
775.195312	-139.710510
785.961914	-139.478912
796.728516	-139.189804
807.495117	-138.865112
818.261719	-138.586853
829.028320	-138.307739
839.794922	-137.963898
850.561523	-137.677414
861.328125	-137.400864
872.094727	-137.039764
882.861328	-136.736252
893.627930	-136.341095
904.394531	-136.029984
915.161133	-135.779846
925.927734	-135.419739
936.694336	-135.151581
947.460938	-134.730377
958.227539	-134.465561
968.994141	-134.099564
979.760742	-133.724884
990.527344	-133.407349
1001.293945	-133.000717
1012.060547	-132.656677
1022.827148	-132.294632
1033.593750	-131.897873
1044.360352	-131.525726
1055.126953	-131.158936
1065.893555	-130.751328
1076.660156	-130.353378
1087.426758	-129.963745
1098.193359	-129.510071
1108.959961	-129.069885
1119.726562	-128.732758
1130.493164	-128.264175
1141.259766	-127.864799
1152.026367	-127.410439
1162.792969	-126.965042
1173.559570	-126.518982
1184.326172	-126.039177
1195.092773	-125.575165
1205.859375	-125.098251
1216.625977	-124.607727
1227.392578	-124.112480
1238.159180	-123.603157
1248.925781	-123.093712
1259.692383	-122.560692
1270.458984	-122.023315
1281.225586	-121.487862
1291.992188	-120.923286
1302.758789	-120.355515
1313.525391	-119.777763
1324.291992	-119.179619
1335.058594	-118.555962
1345.825195	-117.638588
1356.591797	-117.143562
1367.358398	-116.655342
1378.125000	-115.991959
1388.891602	-115.308792
1399.658203	-114.606621
1410.424805	-113.884537
1421.191406	-113.144020
1431.958008	-112.379944
1442.724609	-111.599716
1453.491211	-110.782387
1464.257812	-109.953651
1475.024414	-109.093788
1485.791016	-108.202217
1496.557617	-107.282837
1507.324219	-106.330963
1518.090820	-105.341431
1528.857422	-104.315353
1539.624023	-103.248787
1550.390625	-102.136002
1561.157227	-100.974121
1571.923828	-99.760674
1582.690430	-98.487839
1593.457031	-97.150696
1604.223633	-95.742737
1614.990234	-94.254738
1625.756836	-92.678810
1636.523438	-91.001228
1647.290039	-89.210129
1658.056641	-87.287575
1668.823242	-85.212952
1679.589844	-82.959938
1690.356445	-80.494400
1701.123047	-77.771118
1711.889648	-74.729630
1722.656250	-71.283806
1733.422852	-67.307213
1744.189453	-62.601055
1754.956055	-56.824284
1765.722656	-49.304783
1776.489258	-38.327324
1787.255859	-13.529956
1798.022461	-4.988209
1808.789062	-8.705540
1819.555664	-32.393509
1830.322266	-45.780178
1841.088867	-54.240738
1851.855469	-60.530014
1862.622070	-65.558029
1873.388672	-69.753677
1884.155273	-73.356400
1894.921875	-76.514252
1905.688477	-79.325714
1916.455078	-81.859657
1927.221680	-84.165649
1937.988281	-86.282257
1948.754883	-88.237091
1959.521484	-90.054077
1970.288086	-91.751244
1981.054688	-93.342377
1991.821289	-94.840714
2002.587891	-96.257019
2013.354492	-97.598877
2024.121094	-98.873871
2034.887695	-100.088448
2045.654297	-101.247589
2056.420898	-102.357414
2067.187500	-103.421036
2077.954102	-104.440933
2088.720703	-105.421852
2099.487305	-106.367607
2110.253906	-107.279243
2121.020508	-108.158722
2131.787109	-109.012802
2142.553711	-109.828346
2153.320312	-110.631210
2164.086914	-111.402100
2174.853516	-112.151947
2185.620117	-112.881905
2196.386719	-113.588692
2207.153320	-114.277687
2217.919922	-114.950592
2228.686523	-115.602303
2239.453125	-116.116974
2250.219727	-116.261971
2260.986328	-117.322075
2271.752930	-118.059868
2282.519531	-118.635201
2293.286133	-119.215691
2304.052734	-119.748848
2314.819336	-120.302872
2325.585938	-120.832603
2336.352539	-121.327248
2347.119141	-121.847305
2357.885742	-122.355812
2368.652344	-122.842262
2379.418945	-123.326126
2390.185547	-123.790115
2400.952148	-124.261993
2411.718750	-124.712486
2422.485352	-125.145073
2433.251953	-125.591324
2444.018555	-126.026871
2454.785156	-126.438759
2465.551758	-126.872635
2476.318359	-127.238319
2487.084961	-127.635712
2497.851562	-128.076035
2508.618164	-128.438919
2519.384766	-128.848984
2530.151367	-129.217377
2540.917969	-129.582092
2551.684570	-129.968216
2562.451172	-130.323425
2573.217773	-130.661987
2583.984375	-131.033127
2594.750977	-131.372818
2605.517578	-131.698715
2616.284180	-132.079163
2627.050781	-132.367050
2637.817383	-132.709900
2648.583984	-133.046021
2659.350586	-133.342285
2670.117188	-133.677689
2680.883789	-133.983276
2691.650391	-134.256088
2702.416992	-134.539688
2713.183594	-134.886093
2723.950195	-135.166214
2734.716797	-135.488037
2745.483398	-135.771698
2756.250000	-136.050003
2767.016602	-136.330093
2777.783203	-136.632248
2788.549805	-136.894348
2799.316406	-137.152344
2810.083008	-137.427963
2820.849609	-137.754730
2831.616211	-137.889572
2842.382812	-138.267807
2853.149414	-138.512604
2863.916016	-138.680115
2874.682617	-138.972702
2885.449219	-139.253159
2896.215820	-139.509201
2906.982422	-139.707886
2917.749023	-139.854477
2928.515625	-140.022476
2939.282227	-140.212769
2950.048828	-140.689697
2960.815430	-140.902771
2971.582031	-141.155197
2982.348633	-141.397415
2993.115234	-141.591202
3003.881836	-141.906967
3014.648438	-142.056290
3025.415039	-142.051300
3036.181641	-142.467850
3046.948242	-142.680603
3057.714844	-142.965286
3068.481445	-143.121887
3079.248047	-143.353531
3090.014648	-143.504272
3100.781250	-143.727539
3111.547852	-144.014481
3122.314453	-144.079895
3133.081055	-144.386795
3143.847656	-144.483658
3154.614258	-144.575302
3165.380859	-144.755493
3176.147461	-144.402710
3186.914062	-144.741074
3197.680664	-145.465973
3208.447266	-145.680069
3219.213867	-145.867462
3229.980469	-146.115341
3240.747070	-146.164017
3251.513672	-146.437775
3262.280273	-146.641449
3273.046875	-146.750961
3283.813477	-146.843063
3294.580078	-147.184586
3305.346680	-147.308472
3316.113281	-147.469116
3326.879883	-147.637863
3337.646484	-147.672577
3348.413086	-147.962051
3359.179688	-147.894287
3369.946289	-148.133667
3380.712891	-148.423599
3391.479492	-148.539185
3402.246094	-148.733154
3413.012695	-148.694824
3423.779297	-149.095825
3434.545898	-149.019592
3445.312500	-149.255447
3456.079102	-149.325668
3466.845703	-149.579407
3477.612305	-149.621033
3488.378906	-149.605682
3499.145508	-149.890198
3509.912109	-150.108032
3520.678711	-150.390137
3531.445312	-150.297852
3542.211914	-150.174683
3552.978516	-150.792755
3563.745117	-150.632599
3574.511719	-150.621170
3585.278320	-148.319077
3596.044922	-140.070084
3606.811523	-141.436142
3617.578125	-150.045959
3628.344727	-151.089706
3639.111328	-151.339752
3649.877930	-151.280609
3660.644531	-151.523712
3671.411133	-151.758423
3682.177734	-151.457870
3692.944336	-151.576874
3703.710938	-150.572098
3714.477539	-149.834229
3725.244141	-151.509506
3736.010742	-151.919022
3746.777344	-151.862366
3757.543945	-151.839920
3768.310547	-151.875931
3779.077148	-152.020233
3789.843750	-151.786377
3800.610352	-151.991776
3811.376953	-151.799103
3822.143555	-151.700607
3832.910156	-151.614670
3843.676758	-151.710983
3854.443359	-151.464035
3865.209961	-151.564407
3875.976562	-151.632416
3886.743164	-151.674835
3897.509766	-151.696823
3908.276367	-151.720139
3919.042969	-151.449646
3929.809570	-151.374054
3940.576172	-151.247726
3951.342773	-151.239929
3962.109375	-151.239685
3972.875977	-151.061447
3983.642578	-151.122467
3994.409180	-150.792465
4005.175781	-150.841095
4015.942383	-150.646042
4026.708984	-150.561707
4037.475586	-150.159271
4048.242188	-148.430496
4059.008789	-149.439896
4069.775391	-149.860458
4080.541992	-149.859406
4091.308594	-149.674377
4102.075195	-149.563980
4112.841797	-149.348907
4123.608398	-149.210434
4134.375000	-149.047607
4145.141602	-148.722809
4155.908203	-148.767105
4166.674805	-148.508011
4177.441406	-148.243179
4188.208008	-148.070328
4198.974609	-147.877274
4209.741211	-147.589737
4220.507812	-147.455048
4231.274414	-147.236557
4242.041016	-147.033859
4252.807617	-146.779022
4263.574219	-146.431183
4274.340820	-146.270844
4285.107422	-146.109116
4295.874023	-145.823898
4306.640625	-145.703705
4317.407227	-145.343262
4328.173828	-145.165466
4338.940430	-144.888306
4349.707031	-144.660477
4360.473633	-144.414612
4371.240234	-144.162979
4382.006836	-143.839874
4392.773438	-143.667084
4403.540039	-143.334244
4414.306641	-143.052948
4425.073242	-142.814941
4435.839844	-142.437256
4446.606445	-142.210190
4457.373047	-141.919098
4468.139648	-141.634415
4478.906250	-141.315140
4489.672852	-141.011627
4500.439453	-140.558258
4511.206055	-140.422028
4521.972656	-140.081924
4532.739258	-139.827591
4543.505859	-139.423355
4554.272461	-139.116043
4565.039062	-138.807297
