Frequency (Hz)	Level (dB)
10.766602	-105.314316
21.533203	-146.335327
32.299805	-146.218979
43.066406	-146.140274
53.833008	-146.263840
64.599609	-146.269043
75.366211	-145.994171
86.132812	-145.997910
96.899414	-146.182419
107.666016	-145.858749
118.432617	-145.663025
129.199219	-145.882111
139.965820	-145.690186
150.732422	-145.519623
161.499023	-145.573593
172.265625	-145.465988
183.032227	-145.207245
193.798828	-145.092621
204.565430	-144.981888
215.332031	-144.801468
226.098633	-144.585800
236.865234	-143.995453
247.631836	-144.392242
258.398438	-144.445175
269.165039	-143.912170
279.931641	-143.991211
290.698242	-143.968063
301.464844	-143.670761
312.231445	-143.599548
322.998047	-143.399765
333.764648	-143.209976
344.531250	-143.042572
355.297852	-142.872055
366.064453	-142.616287
376.831055	-142.546326
387.597656	-142.312500
398.364258	-142.031601
409.130859	-141.793060
419.897461	-140.849915
430.664062	-140.913666
441.430664	-140.450943
452.197266	-139.392288
462.963867	-140.640366
473.730469	-140.737640
484.497070	-140.288361
495.263672	-140.279922
506.030273	-140.025558
516.796875	-139.773697
527.563477	-139.592773
538.330078	-139.349304
549.096680	-139.064209
559.863281	-138.902283
570.629883	-138.708557
581.396484	-138.389771
592.163086	-138.154572
602.929688	-137.950073
613.696289	-137.684967
624.462891	-137.459152
635.229492	-137.235901
645.996094	-136.906754
656.762695	-136.689392
667.529297	-136.432480
678.295898	-136.191238
689.062500	-135.908112
699.829102	-135.623795
710.595703	-135.379166
721.362305	-135.141968
732.128906	-134.894470
742.895508	-134.526077
753.662109	-134.334671
764.428711	-134.033752
775.195312	-133.710785
785.961914	-133.462112
796.728516	-133.145584
807.495117	-132.900055
818.261719	-132.550873
829.028320	-132.306152
839.794922	-131.961502
850.561523	-131.666473
861.328125	-131.359955
872.094727	-131.051910
882.861328	-130.715332
893.627930	-130.342255
904.394531	-130.028351
915.161133	-129.745148
925.927734	-129.422302
936.694336	-129.117661
947.460938	-128.763809
958.227539	-128.402939
968.994141	-128.080948
979.760742	-127.698120
990.527344	-127.390778
1001.293945	-126.984695
1012.060547	-126.641167
1022.827148	-126.277451
1033.593750	-125.887627
1044.360352	-125.494301
1055.126953	-125.146255
1065.893555	-124.728058
1076.660156	-124.334122
1087.426758	-123.946877
1098.193359	-123.487442
1108.959961	-123.061127
1119.726562	-122.715553
1130.493164	-122.257935
1141.259766	-121.841583
1152.026367	-121.388145
1162.792969	-120.943253
1173.559570	-120.495773
1184.326172	-120.021881
1195.092773	-119.556839
1205.859375	-119.080597
1216.625977	-118.585159
1227.392578	-118.093513
1238.159180	-117.586693
1248.925781	-117.073067
1259.692383	-116.543823
1270.458984	-116.006439
1281.225586	-115.471695
1291.992188	-114.904457
1302.758789	-114.335014
1313.525391	-113.755013
1324.291992	-113.157799
1335.058594	-112.523384
1345.825195	-111.636452
1356.591797	-111.079529
1367.358398	-110.640198
1378.125000	-109.973129
1388.891602	-109.290695
1399.658203	-108.586327
1410.424805	-107.863647
1421.191406	-107.123383
1431.958008	-106.359924
1442.724609	-105.579369
1453.491211	-104.764046
1464.257812	-103.932205
1475.024414	-103.072502
1485.791016	-102.182266
1496.557617	-101.262901
1507.324219	-100.310646
1518.090820	-99.320816
1528.857422	-98.295189
1539.624023	-97.228325
1550.390625	-96.115479
1561.157227	-94.953987
1571.923828	-93.739967
1582.690430	-92.467102
1593.457031	-91.130211
1604.223633	-89.722046
1614.990234	-88.234108
1625.756836	-86.658440
1636.523438	-84.980431
1647.290039	-83.189529
1658.056641	-81.266869
1668.823242	-79.192490
1679.589844	-76.939262
1690.356445	-74.473686
1701.123047	-71.750542
1711.889648	-68.709007
1722.656250	-65.263184
1733.422852	-61.286598
1744.189453	-56.580441
1754.956055	-50.803661
1765.722656	-43.284161
1776.489258	-32.306698
1787.255859	-7.509342
1798.022461	1.032401
1808.789062	-2.684928
1819.555664	-26.372896
1830.322266	-39.759552
1841.088867	-48.220116
1851.855469	-54.509396
1862.622070	-59.537411
1873.388672	-63.733063
1884.155273	-67.335785
1894.921875	-70.493629
1905.688477	-73.305107
1916.455078	-75.839005
1927.221680	-78.145187
1937.988281	-80.261467
1948.754883	-82.216530
1959.521484	-84.033508
1970.288086	-85.730507
1981.054688	-87.321884
1991.821289	-88.820290
2002.587891	-90.236488
2013.354492	-91.578400
2024.121094	-92.853218
2034.887695	-94.068161
2045.654297	-95.227074
2056.420898	-96.336632
2067.187500	-97.400139
2077.954102	-98.420990
2088.720703	-99.401230
2099.487305	-100.347206
2110.253906	-101.258842
2121.020508	-102.137947
2131.787109	-102.991844
2142.553711	-103.808754
2153.320312	-104.610443
2164.086914	-105.381248
2174.853516	-106.131973
2185.620117	-106.861580
2196.386719	-107.568474
2207.153320	-108.256905
2217.919922	-108.930412
2228.686523	-109.583450
2239.453125	-110.072998
2250.219727	-110.309814
2260.986328	-111.275627
2271.752930	-112.039772
2282.519531	-112.616211
2293.286133	-113.188042
2304.052734	-113.733582
2314.819336	-114.279320
2325.585938	-114.812164
2336.352539	-115.327858
2347.119141	-115.834427
2357.885742	-116.333305
2368.652344	-116.823578
2379.418945	-117.304268
2390.185547	-117.770714
2400.952148	-118.237282
2411.718750	-118.693352
2422.485352	-119.125130
2433.251953	-119.578178
2444.018555	-120.001694
2454.785156	-120.420746
2465.551758	-120.850967
2476.318359	-121.224915
2487.084961	-121.600204
2497.851562	-122.061058
2508.618164	-122.434563
2519.384766	-122.828522
2530.151367	-123.199516
2540.917969	-123.555725
2551.684570	-123.962746
2562.451172	-124.296265
2573.217773	-124.645035
2583.984375	-125.007210
2594.750977	-125.365028
2605.517578	-125.676254
2616.284180	-126.053505
2627.050781	-126.354156
2637.817383	-126.692894
2648.583984	-127.004112
2659.350586	-127.339294
2670.117188	-127.676598
2680.883789	-127.960838
2691.650391	-128.254745
2702.416992	-128.559372
2713.183594	-128.867859
2723.950195	-129.163177
2734.716797	-129.465424
2745.483398	-129.757385
2756.250000	-130.046188
2767.016602	-130.298645
2777.783203	-130.622467
