Frequency (Hz)	Level (dB)
2.691650	-141.052628
5.383301	-138.454437
8.074951	-134.828949
10.766602	-130.276627
13.458252	-124.661560
16.149902	-117.385689
18.841553	-106.934616
21.533203	-85.773193
24.224854	-75.639839
26.916504	-78.110512
29.608154	-97.573318
32.299805	-111.913002
34.991455	-120.702164
37.683105	-127.168724
40.374756	-132.301895
43.066406	-136.551224
45.758057	-140.147125
48.449707	-143.213562
51.141357	-145.840912
53.833008	-148.012985
56.524658	-149.754608
59.216309	-150.932877
61.907959	-151.925827
64.599609	-152.568954
67.291260	-152.999542
69.982910	-153.182007
72.674561	-153.325150
75.366211	-153.253891
78.057861	-153.251099
80.749512	-153.115372
83.441162	-153.022980
86.132812	-152.903732
88.824463	-152.729813
91.516113	-152.561890
94.207764	-152.759445
96.899414	-152.139572
99.591064	-152.011597
102.282715	-151.805801
104.974365	-151.688141
107.666016	-151.479446
110.357666	-151.203629
113.049316	-151.118958
115.740967	-150.851990
118.432617	-150.622070
121.124268	-150.441177
123.815918	-150.256149
126.507568	-150.012375
129.199219	-149.813278
131.890869	-149.641541
134.582520	-149.314224
137.274170	-149.095566
139.965820	-148.898773
142.657471	-148.660370
145.349121	-148.447906
148.040771	-148.215897
150.732422	-147.943604
153.424072	-147.736938
156.115723	-147.497314
158.807373	-147.217987
161.499023	-147.018555
164.190674	-146.772049
166.882324	-146.473907
169.573975	-146.238495
172.265625	-145.978561
174.957275	-145.669388
177.648926	-145.443878
180.340576	-145.211014
183.032227	-144.886337
185.723877	-144.623795
188.415527	-144.341034
191.107178	-144.083557
193.798828	-143.773941
196.490479	-143.509186
199.182129	-143.190598
201.873779	-142.914505
204.565430	-142.627045
207.257080	-142.322174
209.948730	-142.014114
212.640381	-141.698135
215.332031	-141.397110
218.023682	-141.075851
220.715332	-140.758026
223.406982	-140.421448
226.098633	-140.101089
228.790283	-139.790237
231.481934	-139.442337
234.173584	-139.094406
236.865234	-138.775803
239.556885	-138.403397
242.248535	-138.068207
244.940186	-137.709412
247.631836	-137.304169
250.323486	-137.008408
253.015137	-136.599304
255.706787	-136.215378
258.398438	-135.833008
261.090088	-135.445709
263.781738	-135.042542
266.473389	-134.656876
269.165039	-134.261948
271.856689	-133.809555
274.548340	-133.406860
277.239990	-132.974457
279.931641	-132.535400
282.623291	-132.092133
285.314941	-131.640915
288.006592	-131.194611
290.698242	-130.714828
293.389893	-130.239304
296.081543	-129.759216
298.773193	-129.264954
301.464844	-128.765945
304.156494	-128.249588
306.848145	-127.727966
309.539795	-127.190323
312.231445	-126.650528
314.923096	-126.094017
317.614746	-125.526711
320.306396	-124.944984
322.998047	-124.350876
325.689697	-123.743973
328.381348	-123.123032
331.072998	-122.485962
333.764648	-121.830521
336.456299	-121.165825
339.147949	-120.474533
341.839600	-119.768944
344.531250	-119.043243
347.222900	-118.296738
349.914551	-117.528229
352.606201	-116.741348
355.297852	-115.921951
357.989502	-115.077545
360.681152	-114.205704
363.372803	-113.304680
366.064453	-112.371483
368.756104	-111.402412
371.447754	-110.398033
374.139404	-109.353027
376.831055	-108.263100
379.522705	-107.125748
382.214355	-105.937431
384.906006	-104.691666
387.597656	-103.378334
390.289307	-102.002319
392.980957	-100.549896
395.672607	-99.010643
398.364258	-97.373985
401.055908	-95.626678
403.747559	-93.753029
406.439209	-91.734070
409.130859	-89.544586
411.822510	-87.153244
414.514160	-84.518478
417.205811	-81.584732
419.897461	-78.274437
422.589111	-74.474937
425.280762	-70.012756
427.972412	-64.598732
430.664062	-57.689152
433.355713	-48.022194
436.047363	-30.629732
438.739014	-17.299953
441.430664	-17.664854
444.122314	-32.308922
446.813965	-48.759491
449.505615	-58.181686
452.197266	-64.970467
454.888916	-70.310959
457.580566	-74.723137
460.272217	-78.486183
462.963867	-81.768524
465.655518	-84.680115
468.347168	-87.296707
471.038818	-89.672920
473.730469	-91.849472
476.422119	-93.857300
479.113770	-95.721039
481.805420	-97.459129
484.497070	-99.089371
487.188721	-100.621849
489.880371	-102.047653
492.572021	-103.437889
495.263672	-104.744736
497.955322	-105.985390
500.646973	-107.169067
503.338623	-108.302010
506.030273	-109.387093
508.721924	-110.428391
511.413574	-111.430092
514.105225	-112.394745
516.796875	-113.324684
519.488525	-114.222176
522.180176	-115.090942
524.871826	-115.933937
527.563477	-116.745277
530.255127	-117.532410
532.946777	-118.298683
535.638428	-119.042397
538.330078	-119.764961
541.021729	-120.468292
543.713379	-121.155563
546.405029	-121.821129
549.096680	-122.472855
551.788330	-123.107613
554.479980	-123.726318
557.171631	-124.329056
559.863281	-124.924644
562.554932	-125.502197
565.246582	-126.067619
567.938232	-126.615189
570.629883	-127.165306
573.321533	-127.692551
576.013184	-128.215927
578.704834	-128.726532
581.396484	-129.227142
584.088135	-129.717545
586.779785	-130.199371
589.471436	-130.673660
592.163086	-131.135849
594.854736	-131.595306
597.546387	-132.037247
600.238037	-132.484329
602.929688	-132.914734
605.621338	-133.351440
608.312988	-133.763412
611.004639	-134.187149
613.696289	-134.588394
616.387939	-134.981125
619.079590	-135.380493
621.771240	-135.763458
624.462891	-136.145737
627.154541	-136.539932
629.846191	-136.885223
632.537842	-137.255997
635.229492	-137.636002
637.921143	-137.983414
640.612793	-138.331055
643.304443	-138.692780
645.996094	-139.013367
648.687744	-139.363922
651.379395	-139.697250
654.071045	-140.015518
656.762695	-140.364838
659.454346	-140.664597
662.145996	-140.982819
664.837646	-141.317062
667.529297	-141.616074
670.220947	-141.917572
672.912598	-142.219833
675.604248	-142.528397
678.295898	-142.821121
680.987549	-143.084396
683.679199	-143.410629
686.370850	-143.674438
689.062500	-143.968231
691.754150	-144.234070
694.445801	-144.531860
697.137451	-144.815857
699.829102	-145.090042
702.520752	-145.366974
705.212402	-145.564713
707.904053	-145.876846
710.595703	-146.109375
713.287354	-146.385620
715.979004	-146.598053
718.670654	-146.927521
721.362305	-147.134781
724.053955	-147.432159
726.745605	-147.639862
729.437256	-147.853989
732.128906	-148.112839
734.820557	-148.366440
737.512207	-148.570175
740.203857	-148.801285
742.895508	-149.049210
745.587158	-149.225220
748.278809	-149.492844
750.970459	-149.744766
753.662109	-149.925735
756.353760	-150.173950
759.045410	-150.396576
761.737061	-150.539856
764.428711	-150.833237
767.120361	-150.945435
769.812012	-151.187744
772.503662	-151.453812
775.195312	-151.644958
777.886963	-151.785767
780.578613	-151.939316
783.270264	-152.510712
785.961914	-152.294220
788.653564	-152.636719
791.345215	-152.770721
794.036865	-152.949234
796.728516	-153.119949
799.420166	-153.203888
802.111816	-153.403458
804.803467	-153.508835
807.495117	-153.448608
810.186768	-153.459366
812.878418	-153.500977
815.570068	-153.234680
818.261719	-152.880814
820.953369	-152.263809
823.645020	-151.221634
826.336670	-149.905136
829.028320	-148.089523
831.719971	-145.695068
834.411621	-142.787033
837.103271	-139.275406
839.794922	-135.049484
842.486572	-129.891663
845.178223	-123.343063
847.869873	-114.354805
850.561523	-99.361588
853.253174	-81.820770
855.944824	-80.090378
858.636475	-91.264725
861.328125	-110.871605
864.019775	-121.039772
866.711426	-128.184845
869.403076	-133.703186
872.094727	-138.038025
874.786377	-141.081985
877.478027	-142.304733
880.169678	-141.448364
882.861328	-139.125809
885.552979	-135.931992
888.244629	-132.065979
890.936279	-127.421341
893.627930	-121.712570
896.319580	-114.292778
899.011230	-103.532967
901.702881	-80.389580
904.394531	-71.235077
907.086182	-74.455307
909.777832	-96.259277
912.469482	-110.005814
915.161133	-118.597313
917.852783	-124.959801
920.544434	-130.036819
923.236084	-134.266678
925.927734	-137.893631
928.619385	-141.064438
931.311035	-143.875916
934.002686	-146.368362
936.694336	-148.547440
939.385986	-150.455048
942.077637	-152.441223
944.769287	-153.964706
947.460938	-155.334122
950.152588	-156.429474
952.844238	-157.410980
955.535889	-158.119522
958.227539	-158.746048
960.919189	-159.174225
963.610840	-159.606827
966.302490	-159.835678
968.994141	-160.062653
971.685791	-160.179459
974.377441	-160.362854
977.069092	-160.075851
979.760742	-160.324600
982.452393	-160.182236
985.144043	-160.403152
987.835693	-160.070541
990.527344	-160.115097
993.218994	-160.090195
995.910645	-160.005432
998.602295	-159.883057
1001.293945	-159.869095
1003.985596	-159.761810
1006.677246	-159.542999
1009.368896	-159.465363
1012.060547	-159.204742
1014.752197	-159.171204
1017.443848	-158.937271
1020.135498	-158.753555
1022.827148	-158.497055
1025.518799	-158.370026
1028.210449	-158.295013
1030.902100	-158.054611
1033.593750	-157.890015
1036.285400	-157.656876
1038.977051	-157.462967
1041.668701	-157.298050
1044.360352	-157.082474
1047.052002	-156.824371
1049.743652	-156.651001
1052.435303	-156.291046
1055.126953	-156.109467
1057.818604	-155.894287
1060.510254	-155.674149
1063.201904	-155.396423
1065.893555	-155.054276
1068.585205	-154.893112
1071.276855	-154.596771
1073.968506	-154.319153
1076.660156	-154.035233
1079.351807	-153.739670
1082.043457	-153.464890
1084.735107	-153.158142
1087.426758	-152.897934
1090.118408	-152.609222
1092.810059	-152.338058
1095.501709	-152.003510
1098.193359	-151.668686
1100.885010	-151.348785
1103.576660	-151.062744
1106.268311	-150.734390
1108.959961	-150.389893
1111.651611	-150.097076
1114.343262	-149.728577
1117.034912	-149.444321
1119.726562	-149.022888
1122.418213	-148.708740
1125.109863	-148.317795
1127.801514	-147.959747
1130.493164	-147.691238
1133.184814	-147.265228
1135.876465	-146.865738
1138.568115	-146.466415
1141.259766	-146.089691
1143.951416	-145.679779
1146.643066	-145.316162
1149.334717	-144.907196
1152.026367	-144.453812
1154.718018	-144.038910
1157.409668	-143.608231
1160.101318	-143.165405
1162.792969	-142.735168
1165.484619	-142.289658
1168.176270	-141.821991
1170.867920	-141.339417
1173.559570	-140.866669
1176.251221	-140.388550
1178.942871	-139.907608
1181.634521	-139.382523
1184.326172	-138.873947
1187.017822	-138.350906
1189.709473	-137.816925
1192.401123	-137.272079
1195.092773	-136.717316
1197.784424	-136.149460
1200.476074	-135.558441
1203.167725	-134.960800
1205.859375	-134.350037
1208.551025	-133.732620
1211.242676	-133.085739
1213.934326	-132.439194
1216.625977	-131.761551
1219.317627	-131.071548
1222.009277	-130.361450
1224.700928	-129.635284
1227.392578	-128.885468
1230.084229	-128.113480
1232.775879	-127.322830
1235.467529	-126.502205
1238.159180	-125.651093
1240.850830	-124.776436
1243.542480	-123.875954
1246.234131	-122.938782
1248.925781	-121.967003
1251.617432	-120.957710
1254.309082	-119.908813
1257.000732	-118.815147
1259.692383	-117.673470
1262.384033	-116.480156
1265.075684	-115.228806
1267.767334	-113.895119
1270.458984	-112.509979
1273.150635	-111.066124
1275.842285	-109.523300
1278.533936	-107.878334
1281.225586	-106.121887
1283.917236	-104.238304
1286.608887	-102.208176
1289.300537	-100.005615
1291.992188	-97.598900
1294.683838	-94.945709
1297.375488	-91.989380
1300.067139	-88.650658
1302.758789	-84.813950
1305.450439	-80.300652
1308.142090	-74.811005
1310.833740	-67.776047
1313.525391	-57.849976
1316.217041	-39.359570
1318.908691	-27.226936
1321.600342	-28.322927
1324.291992	-44.434273
1326.983643	-60.063282
1329.675293	-69.253716
1332.366943	-75.925896
1335.058594	-81.194756
1337.750244	-85.557991
1340.441895	-89.285133
1343.133545	-92.539871
1345.825195	-95.429619
1348.516846	-98.028336
1351.208496	-100.389412
1353.900146	-102.553108
1356.591797	-104.549942
1359.283447	-106.403854
1361.975098	-108.133606
1364.666748	-109.756096
1367.358398	-111.187973
1370.050049	-112.172615
1372.741699	-113.925705
1375.433350	-115.386017
1378.125000	-116.622108
1380.816650	-117.801338
1383.508301	-118.928452
1386.199951	-120.009232
1388.891602	-121.048111
1391.583252	-122.045654
1394.274902	-123.006271
1396.966553	-123.931190
1399.658203	-124.827408
1402.349854	-125.692078
1405.041504	-126.535263
1407.733154	-127.339691
1410.424805	-128.127563
1413.116455	-128.888428
1415.808105	-129.628067
1418.499756	-130.347672
1421.191406	-131.052155
1423.883057	-131.734314
1426.574707	-132.399567
1429.266357	-133.046860
1431.958008	-133.683136
1434.649658	-134.299713
1437.341309	-134.910599
1440.032959	-135.483368
1442.724609	-136.071640
1445.416260	-136.625183
1448.107910	-137.178741
1450.799561	-137.725708
1453.491211	-138.264359
1456.182861	-138.782776
1458.874512	-139.281387
1461.566162	-139.770187
1464.257812	-140.269714
1466.949463	-140.744843
1469.641113	-141.208023
1472.332764	-141.695465
1475.024414	-142.148621
1477.716064	-142.575775
1480.407715	-143.021072
1483.099365	-143.452713
1485.791016	-143.885849
1488.482666	-144.282684
1491.174316	-144.720398
1493.865967	-145.130447
1496.557617	-145.513245
1499.249268	-145.902054
1501.940918	-146.279922
1504.632568	-146.657364
1507.324219	-147.065430
1510.015869	-147.410507
1512.707520	-147.783493
1515.399170	-148.146957
1518.090820	-148.519867
1520.782471	-148.789597
1523.474121	-149.211197
1526.165771	-149.515762
1528.857422	-149.866028
1531.549072	-150.175644
1534.240723	-150.497635
1536.932373	-150.834641
1539.624023	-151.172470
1542.315674	-151.428635
1545.007324	-151.788116
1547.698975	-152.110291
1550.390625	-152.378571
1553.082275	-152.730484
1555.773926	-152.963120
1558.465576	-153.301971
1561.157227	-153.513123
1563.848877	-153.851654
1566.540527	-154.167938
1569.232178	-154.418808
1571.923828	-154.724274
1574.615479	-154.991959
1577.307129	-155.264862
1579.998779	-155.569061
1582.690430	-155.840759
1585.382080	-155.960403
1588.073730	-156.329056
1590.765381	-156.571289
1593.457031	-156.803314
1596.148682	-157.045486
1598.840332	-157.278214
1601.531982	-157.560013
1604.223633	-157.734680
1606.915283	-158.060242
1609.606934	-158.281342
1612.298584	-158.566833
1614.990234	-158.789963
1617.681885	-158.989670
1620.373535	-159.210785
1623.065186	-159.423935
1625.756836	-159.585785
1628.448486	-159.878342
1631.140137	-160.157578
1633.831787	-160.304047
1636.523438	-160.518036
1639.215088	-160.768265
1641.906738	-160.923462
1644.598389	-160.962662
1647.290039	-161.489273
1649.981689	-161.554153
1652.673340	-161.729950
1655.364990	-161.775879
1658.056641	-162.054428
1660.748291	-162.165329
1663.439941	-162.594543
1666.131592	-162.384827
1668.823242	-162.584641
1671.514893	-162.858047
1674.206543	-162.804810
1676.898193	-162.947220
1679.589844	-162.836090
1682.281494	-162.705978
1684.973145	-162.726547
1687.664795	-162.551025
1690.356445	-161.931427
1693.048096	-161.454758
1695.739746	-160.647034
1698.431396	-159.633102
1701.123047	-158.192322
1703.814697	-156.554810
1706.506348	-154.592926
1709.197998	-152.282410
1711.889648	-149.483185
1714.581299	-146.361877
1717.272949	-142.694046
1719.964600	-138.368408
1722.656250	-133.108185
1725.347900	-126.432220
1728.039551	-117.216698
1730.731201	-101.483047
1733.422852	-85.583694
1736.114502	-84.587715
1738.806152	-96.878395
1741.497803	-115.208496
1744.189453	-125.100647
1746.881104	-132.086060
1749.572754	-137.391586
1752.264404	-141.166290
1754.956055	-142.898941
1757.647705	-142.396667
1760.339355	-140.335190
1763.031006	-137.496063
1765.722656	-134.102051
1768.414307	-130.125687
1771.105957	-125.406693
1773.797607	-119.603111
