Frequency (Hz)	Level (dB)
43.066406	-106.285042
86.132812	-106.135468
129.199219	-105.890617
172.265625	-105.552628
215.332031	-105.132675
258.398438	-104.640793
301.464844	-104.081940
344.531250	-103.463409
387.597656	-102.793846
430.664062	-102.063950
473.730469	-101.307709
516.796875	-100.501312
559.863281	-99.654739
602.929688	-98.767342
645.996094	-97.838409
689.062500	-96.870491
732.128906	-95.857933
775.195312	-94.800331
818.261719	-93.694099
861.328125	-92.536713
904.394531	-91.322319
947.460938	-90.047264
990.527344	-88.704300
1033.593750	-87.286034
1076.660156	-85.784927
1119.726562	-84.190895
1162.792969	-82.490555
1205.859375	-80.670128
1248.925781	-78.710922
1291.992188	-76.589844
1335.058594	-74.278198
1378.125000	-71.737953
1421.191406	-68.918861
1464.257812	-65.751801
1507.324219	-62.137432
1550.390625	-57.926311
1593.457031	-52.876488
1636.523438	-46.553268
1679.589844	-38.030117
1722.656250	-24.468779
1765.722656	-1.756701
1808.789062	1.714063
1851.855469	-7.128138
1894.921875	-31.063440
1937.988281	-41.933365
1981.054688	-49.404881
2024.121094	-55.153446
2067.187500	-59.840649
2110.253906	-63.803387
2153.320312	-67.238533
2196.386719	-70.271545
2239.453125	-72.987503
2282.519531	-75.447052
2325.585938	-77.694908
2368.652344	-79.764610
2411.718750	-81.682930
2454.785156	-83.469856
2497.851562	-85.144043
2540.917969	-86.716293
2583.984375	-88.201324
2627.050781	-89.606163
2670.117188	-90.940102
2713.183594	-92.209587
2756.250000	-93.420341
2799.316406	-94.578377
2842.382812	-95.687027
2885.449219	-96.749947
2928.515625	-97.770882
2971.582031	-98.754951
3014.648438	-99.700531
3057.714844	-100.611015
3100.781250	-101.490875
3143.847656	-102.339294
3186.914062	-103.144661
3229.980469	-103.937912
3273.046875	-104.695938
3316.113281	-105.420761
3359.179688	-106.110764
3402.246094	-106.769577
3445.312500	-107.388924
3488.378906	-107.962036
3531.445312	-108.491760
3574.511719	-108.963730
3617.578125	-109.371010
3660.644531	-109.709320
3703.710938	-109.959618
3746.777344	-110.116196
3789.843750	-110.172081
3832.910156	-110.122086
3875.976562	-109.967140
3919.042969	-109.693993
3962.109375	-109.322289
4005.175781	-108.848679
4048.242188	-108.288551
4091.308594	-107.646400
4134.375000	-106.926964
4177.441406	-106.141724
4220.507812	-105.293457
4263.574219	-104.388802
4306.640625	-103.428818
4349.707031	-102.414551
4392.773438	-101.346603
4435.839844	-100.222916
4478.906250	-99.042007
4521.972656	-97.799088
4565.039062	-96.490952
4608.105469	-95.111290
4651.171875	-93.651672
4694.238281	-92.105103
4737.304688	-90.457939
4780.371094	-88.700554
4823.437500	-86.814812
4866.503906	-84.781708
4909.570312	-82.575661
4952.636719	-80.164711
4995.703125	-77.506424
5038.769531	-74.543709
5081.835938	-71.196945
5124.902344	-67.349754
5167.968750	-62.821823
5211.035156	-57.310535
5254.101562	-50.239536
5297.167969	-40.237957
5340.234375	-21.404741
5383.300781	-9.590561
5426.367188	-10.892253
5469.433594	-27.449533
5512.500000	-42.866043
5555.566406	-51.993618
5598.632812	-58.633789
5641.699219	-63.882858
5684.765625	-68.232513
5727.832031	-71.949677
5770.898438	-75.196800
5813.964844	-78.080376
5857.031250	-80.673996
5900.097656	-83.030800
5943.164062	-85.190956
5986.230469	-87.184464
6029.296875	-89.035744
6072.363281	-90.763733
6115.429688	-92.382774
6158.496094	-93.906929
6201.562500	-95.346481
6244.628906	-96.709999
6287.695312	-98.005798
6330.761719	-99.239113
6373.828125	-100.417084
6416.894531	-101.543480
6459.960938	-102.621941
6503.027344	-103.659760
6546.093750	-104.654808
6589.160156	-105.613091
6632.226562	-106.538383
6675.292969	-107.431534
6718.359375	-108.294647
6761.425781	-109.123779
6804.492188	-109.937309
6847.558594	-110.720406
6890.625000	-111.483566
6933.691406	-112.220482
6976.757812	-112.936859
7019.824219	-113.636597
7062.890625	-114.317383
7105.957031	-114.977333
7149.023438	-115.620102
7192.089844	-116.248932
7235.156250	-116.859238
7278.222656	-117.450882
7321.289062	-118.043983
7364.355469	-118.601967
7407.421875	-119.155312
7450.488281	-119.699455
7493.554688	-120.207344
7536.621094	-120.715988
7579.687500	-121.206001
7622.753906	-121.673790
7665.820312	-122.123962
7708.886719	-122.550262
7751.953125	-122.937378
7795.019531	-123.298050
7838.085938	-123.592812
7881.152344	-123.846672
7924.218750	-124.026970
7967.285156	-124.107697
8010.351562	-124.071854
8053.417969	-123.911049
8096.484375	-123.585266
8139.550781	-123.078598
8182.617188	-122.404617
8225.683594	-121.524765
8268.750000	-120.465889
8311.816406	-119.220940
8354.882812	-117.795792
8397.949219	-116.205559
8441.015625	-114.437096
8484.082031	-112.478477
8527.148438	-110.321350
8570.214844	-107.928459
8613.281250	-105.259773
8656.347656	-102.254547
8699.414062	-98.820206
8742.480469	-94.822601
8785.546875	-90.040474
8828.613281	-84.088768
8871.679688	-76.175751
8914.746094	-64.099747
8957.812500	-21.020456
9000.878906	-15.267495
9043.945312	-21.552004
9087.011719	-65.165085
9130.078125	-77.182869
9173.144531	-85.197327
9216.210938	-91.298157
9259.277344	-96.251419
9302.343750	-100.431717
9345.410156	-104.055458
9388.476562	-107.258812
9431.542969	-110.130226
9474.609375	-112.733246
9517.675781	-115.116577
9560.742188	-117.305038
9603.808594	-119.340744
9646.875000	-121.213470
9689.941406	-122.968575
9733.007812	-124.574554
9776.074219	-126.073837
9819.140625	-127.443977
9862.207031	-128.687607
9905.273438	-129.799454
9948.339844	-130.760834
9991.406250	-131.585495
10034.472656	-132.255219
10077.539062	-132.750137
10120.605469	-133.116699
10163.671875	-133.348663
10206.738281	-133.436996
10249.804688	-133.407623
10292.871094	-133.303360
10335.937500	-133.107407
10379.003906	-132.823273
10422.070312	-132.516052
10465.136719	-132.139069
10508.203125	-131.748779
10551.269531	-131.280441
10594.335938	-130.822861
10637.402344	-130.305908
10680.468750	-129.779022
10723.535156	-129.222351
10766.601562	-128.674820
10809.667969	-128.082016
10852.734375	-127.466331
10895.800781	-126.836227
10938.867188	-126.186317
10981.933594	-125.518791
11025.000000	-124.819054
11068.066406	-124.112152
11111.132812	-123.377472
11154.199219	-122.611969
11197.265625	-121.835266
11240.332031	-121.019646
11283.398438	-120.188202
11326.464844	-119.321518
11369.531250	-118.437309
11412.597656	-117.511490
11455.664062	-116.545105
11498.730469	-115.546005
11541.796875	-114.508690
11584.863281	-113.429321
11627.929688	-112.300110
11670.996094	-111.117043
11714.062500	-109.880852
11757.128906	-108.582031
11800.195312	-107.214645
11843.261719	-105.769539
11886.328125	-104.241875
11929.394531	-102.616501
11972.460938	-100.885178
12015.527344	-99.025375
12058.593750	-97.025795
12101.660156	-94.857498
12144.726562	-92.490845
12187.792969	-89.885391
12230.859375	-86.987732
12273.925781	-83.722824
12316.992188	-79.982513
12360.058594	-75.601463
12403.125000	-70.306526
12446.191406	-63.592045
12489.257812	-54.317997
12532.324219	-38.399757
12575.390625	-22.847483
12618.457031	-22.019985
12661.523438	-34.580097
12704.589844	-52.646561
12747.656250	-62.475849
12790.722656	-69.464188
12833.789062	-74.925888
12876.855469	-79.420334
12919.921875	-83.243271
12962.988281	-86.571533
13006.054688	-89.519218
13049.121094	-92.166100
13092.187500	-94.567078
13135.253906	-96.764351
13178.320312	-98.790413
