Frequency (Hz)	Level (dB)
5.383301	-137.907028
10.766602	-137.749146
16.149902	-137.975418
21.533203	-137.778549
26.916504	-137.762039
32.299805	-137.438095
37.683105	-134.888168
43.066406	-116.843597
48.449707	-106.731987
53.833008	-109.207329
59.216309	-128.097076
64.599609	-136.283905
69.982910	-137.083221
75.366211	-137.164597
80.749512	-137.056320
86.132812	-136.998962
91.516113	-136.919388
96.899414	-136.740158
102.282715	-136.625671
107.666016	-136.590500
113.049316	-136.361023
118.432617	-136.294983
123.815918	-136.146805
129.199219	-135.975403
134.582520	-135.921860
139.965820	-135.696793
145.349121	-134.810287
150.732422	-133.670929
156.115723	-134.935699
161.499023	-135.091599
166.882324	-134.964355
172.265625	-134.762299
177.648926	-134.570541
183.032227	-134.366333
188.415527	-134.551636
193.798828	-133.979309
199.182129	-133.858124
204.565430	-133.639267
209.948730	-133.507675
215.332031	-133.315170
220.715332	-133.040787
226.098633	-132.908386
231.481934	-132.679245
236.865234	-132.470856
242.248535	-132.285736
247.631836	-132.042511
253.015137	-131.829895
258.398438	-131.634995
263.781738	-131.432678
269.165039	-131.173126
274.548340	-130.908188
279.931641	-130.747849
285.314941	-130.502563
290.698242	-130.270096
296.081543	-130.042618
301.464844	-129.782104
306.848145	-129.569168
312.231445	-129.311188
317.614746	-129.076691
322.998047	-128.833267
328.381348	-128.550049
333.764648	-128.330536
339.147949	-128.064957
344.531250	-127.809792
349.914551	-127.511055
355.297852	-127.283882
360.681152	-127.060402
366.064453	-126.720825
371.447754	-126.469070
376.831055	-126.176323
382.214355	-125.914078
387.597656	-125.611824
392.980957	-125.350746
398.364258	-125.032745
403.747559	-124.752388
409.130859	-124.459412
414.514160	-124.156555
419.897461	-123.850700
425.280762	-123.545776
430.664062	-123.238457
436.047363	-122.918518
441.430664	-122.596420
446.813965	-122.273903
452.197266	-121.948059
457.580566	-121.623871
462.963867	-121.283920
468.347168	-120.942986
473.730469	-120.615067
479.113770	-120.245224
484.497070	-119.905441
489.880371	-119.547615
495.263672	-119.165146
500.646973	-118.802658
506.030273	-118.454895
511.413574	-118.058319
516.796875	-117.674675
522.180176	-117.292458
527.563477	-116.886330
532.946777	-116.509041
538.330078	-116.093056
543.713379	-115.664886
549.096680	-115.248528
554.479980	-114.813469
559.863281	-114.381355
565.246582	-113.938072
570.629883	-113.485626
576.013184	-113.031540
581.396484	-112.564697
586.779785	-112.085945
592.163086	-111.604225
597.546387	-111.111046
602.929688	-110.607773
608.312988	-110.095177
613.696289	-109.573128
619.079590	-109.036484
624.462891	-108.494301
629.846191	-107.939949
635.229492	-107.372467
640.612793	-106.790947
645.996094	-106.199188
651.379395	-105.588959
656.762695	-104.968369
662.145996	-104.330917
667.529297	-103.676796
672.912598	-103.007996
678.295898	-102.320465
683.679199	-101.613518
689.062500	-100.889023
694.445801	-100.141937
699.829102	-99.373779
705.212402	-98.586899
710.595703	-97.766144
715.979004	-96.922867
721.362305	-96.050941
726.745605	-95.150299
732.128906	-94.217087
737.512207	-93.248749
742.895508	-92.243301
748.278809	-91.198425
753.662109	-90.108582
759.045410	-88.971581
764.428711	-87.782684
769.812012	-86.523514
775.195312	-80.136940
780.578613	-76.328079
785.961914	-80.316414
791.345215	-80.852478
796.728516	-79.218826
802.111816	-77.471924
807.495117	-75.598442
812.878418	-73.579453
818.261719	-71.389977
823.645020	-68.998642
829.028320	-66.363892
834.411621	-63.430164
839.794922	-60.119858
845.178223	-56.320366
850.561523	-51.858181
855.944824	-46.444153
861.328125	-39.534576
866.711426	-29.867619
872.094727	-12.475161
877.478027	0.854626
882.861328	0.489723
888.244629	-14.154346
893.627930	-30.604916
899.011230	-40.027111
904.394531	-46.815887
909.777832	-52.156380
915.161133	-56.568565
920.544434	-60.331615
925.927734	-63.613956
931.311035	-66.525528
936.694336	-69.142151
942.077637	-71.518341
947.460938	-73.694916
952.844238	-75.702736
958.227539	-77.566544
963.610840	-79.304649
968.994141	-80.934891
974.377441	-78.662132
979.760742	-73.863434
985.144043	-78.734749
990.527344	-86.582977
995.910645	-87.829735
1001.293945	-89.014206
1006.677246	-90.147194
1012.060547	-91.232452
1017.443848	-92.274315
1022.827148	-93.274994
1028.210449	-94.240387
1033.593750	-95.170135
1038.977051	-96.067680
1044.360352	-96.936073
1049.743652	-97.779846
1055.126953	-98.591080
1060.510254	-99.378159
1065.893555	-100.143646
1071.276855	-100.888000
1076.660156	-101.610458
1082.043457	-102.312920
1087.426758	-103.001221
1092.810059	-103.667427
1098.193359	-104.317505
1103.576660	-104.952316
1108.959961	-105.572014
1114.343262	-106.178825
1119.726562	-106.768494
1125.109863	-107.348824
1130.493164	-107.912270
1135.876465	-108.460869
1141.259766	-109.012039
1146.643066	-109.541512
1152.026367	-110.059715
1157.409668	-110.572456
1162.792969	-111.071220
1168.176270	-111.563995
1173.559570	-112.044022
1178.942871	-112.520699
1184.326172	-112.988396
1189.709473	-113.440948
1195.092773	-113.886330
1200.476074	-114.331352
1205.859375	-114.761505
1211.242676	-115.194511
1216.625977	-115.607109
1222.009277	-116.042114
1227.392578	-116.445892
1232.775879	-116.826645
1238.159180	-117.231171
1243.542480	-117.610939
1248.925781	-117.988945
1254.309082	-118.386108
1259.692383	-118.739037
1265.075684	-119.110229
1270.458984	-119.478180
1275.842285	-119.829781
1281.225586	-120.171188
1286.608887	-120.538765
1291.992188	-120.864059
1297.375488	-121.212769
1302.758789	-121.540817
1308.142090	-121.847816
1313.525391	-122.207497
1318.908691	-122.515900
1324.291992	-122.832893
1329.675293	-123.150803
1335.058594	-123.460381
1340.441895	-123.764732
1345.825195	-124.071548
1351.208496	-124.368462
1356.591797	-124.665207
1361.975098	-124.953926
1367.358398	-125.252792
1372.741699	-125.516190
1378.125000	-125.820724
1383.508301	-126.093521
1388.891602	-126.374397
1394.274902	-126.656998
1399.658203	-126.939507
1405.041504	-127.189857
1410.424805	-127.420372
1415.808105	-127.725021
1421.191406	-127.986671
1426.574707	-128.213470
1431.958008	-128.479935
1437.341309	-128.745758
1442.724609	-128.969925
1448.107910	-129.234390
1453.491211	-129.489456
1458.874512	-129.703934
1464.257812	-129.968857
1469.641113	-130.212875
1475.024414	-130.428894
1480.407715	-130.655182
1485.791016	-130.885803
1491.174316	-131.115814
1496.557617	-131.381348
1501.940918	-131.603333
1507.324219	-131.796616
1512.707520	-132.033081
1518.090820	-132.257004
1523.474121	-132.458359
1528.857422	-132.679428
1534.240723	-132.915115
1539.624023	-133.074646
1545.007324	-133.343506
1550.390625	-133.548813
1555.773926	-133.711548
1561.157227	-133.847717
1566.540527	-134.464874
1571.923828	-134.233612
1577.307129	-134.553864
1582.690430	-134.717712
1588.073730	-134.930084
1593.457031	-135.162811
1598.840332	-135.302658
1604.223633	-134.913422
1609.606934	-133.259918
1614.990234	-134.918106
1620.373535	-136.054947
1625.756836	-136.309219
1631.140137	-136.387924
1636.523438	-136.642639
1641.906738	-136.699203
1647.290039	-136.815018
1652.673340	-136.924316
1658.056641	-136.888153
1663.439941	-136.633835
1668.823242	-136.020309
1674.206543	-134.465164
1679.589844	-131.648300
1684.973145	-127.199844
1690.356445	-120.890533
1695.739746	-111.955307
1701.123047	-96.963127
1706.506348	-79.420952
1711.889648	-77.690895
1717.272949	-88.864456
1722.656250	-108.462914
1728.039551	-118.588623
1733.422852	-125.585091
1738.806152	-130.709366
1744.189453	-134.347092
1749.572754	-136.609009
1754.956055	-137.942673
1760.339355	-138.209061
1765.722656	-137.724289
1771.105957	-136.260330
1776.489258	-133.589172
1781.872559	-129.569016
1787.255859	-124.099197
1792.639160	-116.756241
1798.022461	-106.008690
1803.405762	-82.865623
1808.789062	-73.711029
1814.172363	-76.931320
1819.555664	-98.734802
1824.938965	-112.473412
1830.322266	-121.034752
1835.705566	-127.261246
1841.088867	-132.016891
1846.472168	-135.615555
1851.855469	-138.092621
1857.238770	-139.721588
1862.622070	-140.808899
1868.005371	-141.440033
1873.388672	-141.410873
1878.771973	-141.555359
1884.155273	-142.239151
1889.538574	-142.178040
1894.921875	-142.408783
1900.305176	-142.303085
1905.688477	-135.387131
1911.071777	-132.355179
1916.455078	-138.921967
1921.838379	-142.422882
1927.221680	-142.487503
1932.604980	-142.449722
1937.988281	-142.335953
1943.371582	-142.327133
1948.754883	-142.430817
1954.138184	-142.178299
1959.521484	-142.232834
1964.904785	-142.065491
1970.288086	-142.152695
1975.671387	-141.928513
1981.054688	-141.860184
1986.437988	-141.836792
1991.821289	-141.720337
1997.204590	-141.518021
2002.587891	-141.513580
2007.971191	-141.249878
2013.354492	-141.160156
2018.737793	-141.074570
2024.121094	-140.894714
2029.504395	-140.764633
2034.887695	-140.517242
2040.270996	-140.468933
2045.654297	-140.233444
2051.037598	-140.005722
2056.420898	-139.868362
2061.804199	-139.654877
2067.187500	-139.444855
2072.570801	-139.261902
2077.954102	-139.041626
2083.337402	-138.836166
2088.720703	-138.691574
2094.104004	-138.327606
2099.487305	-138.184372
2104.870605	-137.942688
2110.253906	-137.640228
2115.637207	-137.455627
2121.020508	-137.228836
2126.403809	-136.948990
2131.787109	-136.664963
2137.170410	-136.410965
2142.553711	-136.165115
2147.937012	-135.889542
2153.320312	-135.600616
2158.703613	-135.353043
2164.086914	-135.054596
2169.470215	-134.747604
2174.853516	-134.491776
2180.236816	-134.170166
2185.620117	-133.866470
2191.003418	-133.560333
2196.386719	-133.248642
2201.770020	-132.956879
2207.153320	-132.629120
2212.536621	-132.302704
2217.919922	-131.960388
2223.303223	-131.636948
2228.686523	-131.291214
2234.069824	-130.969360
2239.453125	-130.599899
2244.836426	-130.268433
2250.219727	-129.914856
2255.603027	-129.533295
2260.986328	-129.179672
2266.369629	-128.816406
2271.752930	-128.427048
2277.136230	-128.039597
2282.519531	-127.653725
2287.902832	-127.241798
2293.286133	-126.865784
2298.669434	-126.477753
2304.052734	-126.017052
2309.436035	-125.610291
2314.819336	-125.172890
2320.202637	-124.742050
2325.585938	-124.292137
2330.969238	-123.841965
2336.352539	-123.387390
2341.735840	-122.909149
2347.119141	-122.440239
2352.502441	-121.951080
2357.885742	-121.457024
2363.269043	-120.953796
2368.652344	-120.435173
2374.035645	-119.912895
2379.418945	-119.379707
2384.802246	-118.837967
2390.185547	-118.272354
2395.568848	-117.709610
2400.952148	-117.122841
2406.335449	-116.527260
2411.718750	-115.918633
2417.102051	-115.293961
2422.485352	-114.653435
2427.868652	-113.995453
2433.251953	-113.330772
2438.635254	-112.630585
2444.018555	-111.926971
2449.401855	-111.199509
2454.785156	-110.449081
2460.168457	-109.678192
2465.551758	-108.890549
2470.935059	-108.064972
2476.318359	-107.217705
2481.701660	-106.343636
2487.084961	-105.439468
2492.468262	-104.502380
2497.851562	-103.531242
2503.234863	-102.521393
2508.618164	-101.472046
2514.001465	-100.377975
2519.384766	-99.234703
2524.768066	-98.028778
2530.151367	-96.513145
2535.534668	-83.614594
2540.917969	-79.893951
2546.301270	-86.978310
2551.684570	-91.058685
2557.067871	-89.439529
2562.451172	-87.684799
2567.834473	-85.801636
2573.217773	-83.771606
2578.601074	-81.569077
2583.984375	-79.162376
2589.367676	-76.509247
2594.750977	-73.552940
2600.134277	-70.214211
2605.517578	-66.377548
2610.900879	-61.864208
2616.284180	-56.374550
2621.667480	-49.339592
2627.050781	-39.413517
2632.434082	-20.923119
2637.817383	-8.790483
2643.200684	-9.886476
2648.583984	-25.997820
2653.967285	-41.626831
2659.350586	-50.817257
2664.733887	-57.489433
2670.117188	-62.758297
2675.500488	-67.121513
2680.883789	-70.848686
2686.267090	-74.103485
2691.650391	-76.993126
2697.033691	-79.591774
2702.416992	-81.952919
2707.800293	-84.116638
2713.183594	-86.113243
2718.566895	-87.967247
2723.950195	-89.696373
2729.333496	-91.313377
2734.716797	-77.452171
2740.100098	-71.761452
2745.483398	-77.985954
2750.866699	-96.941284
2756.250000	-98.185005
2761.633301	-99.364426
2767.016602	-100.492653
2772.399902	-101.573288
2777.783203	-102.612259
2783.166504	-103.608292
2788.549805	-104.570244
2793.933105	-105.496277
2799.316406	-106.390381
2804.699707	-107.255180
2810.083008	-108.096634
2815.466309	-108.904930
2820.849609	-109.689774
2826.232910	-110.452568
2831.616211	-111.192986
2836.999512	-111.910034
2842.382812	-112.606110
2847.766113	-113.298035
2853.149414	-113.961250
2858.532715	-114.609352
2863.916016	-115.245064
2869.299316	-115.863518
2874.682617	-116.463943
2880.065918	-117.053581
2885.449219	-117.629051
