Frequency (Hz)	Level (dB)
5.383301	-108.048119
10.766602	-105.393524
16.149902	-101.705559
21.533203	-97.150383
26.916504	-91.525597
32.299805	-84.245560
37.683105	-73.793106
43.066406	-52.631054
48.449707	-42.497646
53.833008	-44.968361
59.216309	-64.430862
64.599609	-78.769562
69.982910	-87.558479
75.366211	-94.022659
80.749512	-99.161972
86.132812	-103.433395
91.516113	-107.090996
96.899414	-110.288338
102.282715	-113.126007
107.666016	-115.673683
113.049316	-117.967255
118.432617	-120.062996
123.815918	-121.974197
129.199219	-123.707848
134.582520	-125.276566
139.965820	-126.536942
145.349121	-114.187683
150.732422	-110.032921
156.115723	-117.669510
161.499023	-130.650223
166.882324	-131.467545
172.265625	-131.979141
177.648926	-132.358948
183.032227	-132.632965
188.415527	-133.053162
193.798828	-132.869537
199.182129	-132.995743
204.565430	-132.966629
209.948730	-132.984665
215.332031	-132.896896
220.715332	-132.736664
226.098633	-132.662720
231.481934	-132.506607
236.865234	-132.310379
242.248535	-132.174713
247.631836	-131.970657
253.015137	-131.756943
258.398438	-131.613205
263.781738	-131.391296
269.165039	-131.152740
274.548340	-130.904572
279.931641	-130.759171
285.314941	-130.517929
290.698242	-130.294144
296.081543	-130.063522
301.464844	-129.807083
306.848145	-129.597412
312.231445	-129.346588
317.614746	-129.101273
322.998047	-128.852966
328.381348	-128.601212
333.764648	-128.352570
339.147949	-128.108231
344.531250	-127.856430
349.914551	-127.553612
355.297852	-127.324699
360.681152	-127.101669
366.064453	-126.770668
371.447754	-126.510933
376.831055	-126.218071
382.214355	-125.954315
387.597656	-125.653160
392.980957	-125.388802
398.364258	-125.075500
403.747559	-124.796524
409.130859	-124.494751
414.514160	-124.201027
419.897461	-123.892273
425.280762	-123.583237
430.664062	-123.279495
436.047363	-122.959312
441.430664	-122.641296
446.813965	-122.318764
452.197266	-121.989197
457.580566	-121.666130
462.963867	-121.326721
468.347168	-120.978638
473.730469	-120.658134
479.113770	-120.284119
484.497070	-119.947731
489.880371	-119.590637
495.263672	-119.208107
500.646973	-118.839531
506.030273	-118.489616
511.413574	-118.097031
516.796875	-117.715218
522.180176	-117.333046
527.563477	-116.927902
532.946777	-116.543541
538.330078	-116.130562
543.713379	-115.702156
549.096680	-115.289062
554.479980	-114.854225
559.863281	-114.420677
565.246582	-113.978226
570.629883	-113.526077
576.013184	-113.068649
581.396484	-112.601402
586.779785	-112.125839
592.163086	-111.643929
597.546387	-111.149223
602.929688	-110.647186
608.312988	-110.134369
613.696289	-109.612007
619.079590	-109.076370
624.462891	-108.533287
629.846191	-107.979424
635.229492	-107.412308
640.612793	-106.830246
645.996094	-106.237213
651.379395	-105.628922
656.762695	-105.007248
662.145996	-104.370026
667.529297	-103.716927
672.912598	-103.047707
678.295898	-102.359283
683.679199	-101.652679
689.062500	-100.927856
694.445801	-100.181221
699.829102	-99.412766
705.212402	-98.625786
710.595703	-97.805588
715.979004	-96.961639
721.362305	-96.090034
726.745605	-95.189529
732.128906	-94.256149
737.512207	-93.287521
742.895508	-92.282539
748.278809	-91.237198
753.662109	-90.147514
759.045410	-89.010315
764.428711	-87.821175
769.812012	-86.560814
775.195312	-80.365807
780.578613	-76.555222
785.961914	-80.468475
791.345215	-80.892693
796.728516	-79.258232
802.111816	-77.511185
807.495117	-75.637611
812.878418	-73.618591
818.261719	-71.429123
823.645020	-69.037796
829.028320	-66.403046
834.411621	-63.469303
839.794922	-60.159016
845.178223	-56.359512
850.561523	-51.897327
855.944824	-46.483303
861.328125	-39.573723
866.711426	-29.906759
872.094727	-12.514312
877.478027	0.815465
882.861328	0.450574
888.244629	-14.193496
893.627930	-30.644068
899.011230	-40.066261
904.394531	-46.855034
909.777832	-52.195526
915.161133	-56.607716
920.544434	-60.370762
925.927734	-63.653095
931.311035	-66.564667
936.694336	-69.181313
942.077637	-71.557465
947.460938	-73.734047
952.844238	-75.741875
958.227539	-77.605682
963.610840	-79.343704
968.994141	-80.973442
974.377441	-78.842499
979.760742	-74.167313
985.144043	-78.973587
990.527344	-86.623932
995.910645	-87.869293
1001.293945	-89.053627
1006.677246	-90.186333
1012.060547	-91.271690
1017.443848	-92.313240
1022.827148	-93.314369
1028.210449	-94.279404
1033.593750	-95.209335
1038.977051	-96.106888
1044.360352	-96.975365
1049.743652	-97.818878
1055.126953	-98.630150
1060.510254	-99.417122
1065.893555	-100.182571
1071.276855	-100.927246
1076.660156	-101.649078
1082.043457	-102.353569
1087.426758	-103.039040
1092.810059	-103.706306
1098.193359	-104.355682
1103.576660	-104.991493
1108.959961	-105.610687
1114.343262	-106.216293
1119.726562	-106.807877
1125.109863	-107.388161
1130.493164	-107.952255
1135.876465	-108.500420
1141.259766	-109.050468
1146.643066	-109.581383
1152.026367	-110.099670
1157.409668	-110.610779
1162.792969	-111.111649
1168.176270	-111.603065
1173.559570	-112.082680
1178.942871	-112.560135
1184.326172	-113.025322
1189.709473	-113.477722
1195.092773	-113.927429
1200.476074	-114.368927
1205.859375	-114.801239
1211.242676	-115.234100
1216.625977	-115.644745
1222.009277	-116.082779
1227.392578	-116.494331
1232.775879	-116.865173
1238.159180	-117.269264
1243.542480	-117.651176
1248.925781	-118.028534
1254.309082	-118.425591
1259.692383	-118.779198
1265.075684	-119.145599
1270.458984	-119.518211
1275.842285	-119.869987
1281.225586	-120.209602
1286.608887	-120.579018
1291.992188	-120.898888
1297.375488	-121.248230
1302.758789	-121.583359
1308.142090	-121.894928
1313.525391	-122.249138
1318.908691	-122.557480
1324.291992	-122.872101
1329.675293	-123.189613
1335.058594	-123.495621
1340.441895	-123.801300
1345.825195	-124.106567
1351.208496	-124.414734
1356.591797	-124.705215
1361.975098	-124.987923
1367.358398	-125.297005
1372.741699	-125.555832
1378.125000	-125.860252
1383.508301	-126.127251
1388.891602	-126.417206
1394.274902	-126.693382
1399.658203	-126.970718
1405.041504	-127.234467
1410.424805	-127.456093
1415.808105	-127.764061
1421.191406	-128.015366
1426.574707	-128.271423
1431.958008	-128.498917
1437.341309	-128.770782
1442.724609	-129.018875
1448.107910	-129.272812
1453.491211	-129.518539
1458.874512	-129.730728
1464.257812	-129.987534
1469.641113	-130.235458
1475.024414	-130.446716
1480.407715	-130.671585
1485.791016	-130.896301
1491.174316	-131.118439
1496.557617	-131.390915
1501.940918	-131.568695
1507.324219	-131.764847
1512.707520	-131.965927
1518.090820	-132.189499
1523.474121	-132.372025
1528.857422	-132.525299
1534.240723	-132.760468
1539.624023	-132.846848
1545.007324	-133.062988
1550.390625	-133.167740
1555.773926	-133.229904
1561.157227	-133.223389
1566.540527	-133.569382
1571.923828	-133.221725
1577.307129	-133.202896
1582.690430	-133.003235
1588.073730	-132.743881
1593.457031	-132.346146
1598.840332	-131.755280
1604.223633	-119.401703
1609.606934	-112.651711
1614.990234	-117.497520
1620.373535	-128.029755
1625.756836	-126.682098
1631.140137	-125.142090
1636.523438	-123.435402
1641.906738	-121.536125
1647.290039	-119.445358
1652.673340	-117.136803
1658.056641	-114.582184
1663.439941	-111.725746
1668.823242	-108.507156
1674.206543	-104.814278
1679.589844	-100.495422
1684.973145	-95.288933
1690.356445	-88.714554
1695.739746	-79.714958
1701.123047	-64.717857
1706.506348	-47.176098
1711.889648	-45.445904
1717.272949	-56.619816
1722.656250	-76.224304
1728.039551	-86.386330
1733.422852	-93.529213
1738.806152	-99.059669
1744.189453	-103.505013
1749.572754	-106.954201
1754.956055	-109.020554
1760.339355	-109.106956
1765.722656	-107.296494
1771.105957	-104.269005
1776.489258	-100.432114
1781.872559	-95.791740
1787.255859	-90.077370
1792.639160	-82.655045
1798.022461	-71.892471
1803.405762	-48.748253
1808.789062	-39.593674
1814.172363	-42.813953
1819.555664	-64.617546
1824.938965	-78.362823
1830.322266	-86.950752
1835.705566	-93.308426
1841.088867	-98.379906
1846.472168	-102.606384
1851.855469	-106.230629
1857.238770	-109.405785
1862.622070	-112.228615
1868.005371	-114.770454
1873.388672	-117.086510
1878.771973	-119.178596
1884.155273	-121.143692
1889.538574	-122.941170
1894.921875	-124.606834
1900.305176	-125.524071
1905.688477	-110.911644
1911.071777	-107.450127
1916.455078	-116.072327
1921.838379	-130.923447
1927.221680	-132.501907
1932.604980	-133.554565
1937.988281	-134.503555
1943.371582	-135.378769
1948.754883	-136.167206
1954.138184	-136.803955
1959.521484	-137.490219
1964.904785	-137.992661
1970.288086	-138.534882
1975.671387	-138.863220
1981.054688	-139.225845
1986.437988	-139.541489
1991.821289	-139.752136
1997.204590	-139.850174
2002.587891	-140.020432
2007.971191	-140.072433
2013.354492	-140.090652
2018.737793	-140.178223
2024.121094	-140.071457
2029.504395	-140.089264
2034.887695	-139.936783
2040.270996	-139.944489
2045.654297	-139.803055
2051.037598	-139.646210
2056.420898	-139.518173
2061.804199	-139.342819
2067.187500	-139.193420
2072.570801	-139.025635
2077.954102	-138.827225
2083.337402	-138.643860
2088.720703	-138.435898
2094.104004	-138.213501
2099.487305	-138.004364
2104.870605	-137.781052
2110.253906	-137.519867
2115.637207	-137.309677
2121.020508	-137.129288
2126.403809	-136.822815
2131.787109	-136.563171
2137.170410	-136.271973
2142.553711	-136.053711
2147.937012	-135.765350
2153.320312	-135.510696
2158.703613	-135.219406
