Frequency (Hz)	Level (dB)
5.383301	-139.816040
10.766602	-139.773911
16.149902	-139.707825
21.533203	-139.614792
26.916504	-139.500397
32.299805	-139.373764
37.683105	-139.188431
43.066406	-139.012787
48.449707	-138.808487
53.833008	-138.569351
59.216309	-138.331177
64.599609	-138.077957
69.982910	-137.779800
75.366211	-137.488983
80.749512	-137.182724
86.132812	-136.843140
91.516113	-136.543701
96.899414	-136.137482
102.282715	-135.795074
107.666016	-135.417725
113.049316	-135.017776
118.432617	-134.623795
123.815918	-134.209671
129.199219	-133.787155
134.582520	-133.355347
139.965820	-132.913727
145.349121	-132.457016
150.732422	-131.997696
156.115723	-131.520493
161.499023	-131.035431
166.882324	-130.539139
172.265625	-130.031662
177.648926	-129.513565
183.032227	-128.982895
188.415527	-128.438339
193.798828	-127.887421
199.182129	-127.315445
204.565430	-126.736458
209.948730	-126.140884
215.332031	-125.531158
220.715332	-124.904663
226.098633	-124.264687
231.481934	-123.607498
236.865234	-122.930695
242.248535	-122.235985
247.631836	-121.525177
253.015137	-120.790085
258.398438	-120.034256
263.781738	-119.256256
269.165039	-118.455566
274.548340	-117.625870
279.931641	-116.767479
285.314941	-115.881607
290.698242	-114.963570
296.081543	-114.010887
301.464844	-113.022957
306.848145	-111.995384
312.231445	-110.924240
317.614746	-109.807144
322.998047	-108.639206
328.381348	-107.415550
333.764648	-106.131699
339.147949	-104.780014
344.531250	-103.353271
349.914551	-101.843384
355.297852	-100.239815
360.681152	-98.529518
366.064453	-96.697945
371.447754	-94.726578
376.831055	-92.591881
382.214355	-90.263741
387.597656	-87.685158
392.980957	-84.859169
398.364258	-81.669670
403.747559	-78.021034
409.130859	-73.763634
414.514160	-68.647827
419.897461	-62.220913
425.280762	-53.503765
430.664062	-39.381039
436.047363	-19.151419
441.430664	-16.417664
446.813965	-26.199591
452.197266	-48.001568
457.580566	-58.561119
462.963867	-65.892326
468.347168	-71.558281
473.730469	-76.190109
479.113770	-80.112625
484.497070	-83.510918
489.880371	-86.494148
495.263672	-89.199257
500.646973	-91.663391
506.030273	-93.896362
511.413574	-95.953072
516.796875	-97.859962
522.180176	-99.636497
527.563477	-101.301163
532.946777	-102.864906
538.330078	-104.342064
543.713379	-105.739586
549.096680	-107.066391
554.479980	-108.329910
559.863281	-109.535233
565.246582	-110.687729
570.629883	-111.792152
576.013184	-112.851288
581.396484	-113.869926
586.779785	-114.851631
592.163086	-115.797005
597.546387	-116.709480
602.929688	-117.592415
608.312988	-118.445648
613.696289	-119.276756
619.079590	-120.077614
624.462891	-120.854218
629.846191	-121.611465
635.229492	-122.345116
640.612793	-123.061043
645.996094	-123.758675
651.379395	-124.436081
656.762695	-125.098709
662.145996	-125.745171
667.529297	-126.374969
672.912598	-126.990974
678.295898	-127.590790
683.679199	-128.183487
689.062500	-128.755890
694.445801	-129.317139
699.829102	-129.878174
705.212402	-130.409912
710.595703	-130.943024
715.979004	-131.463257
721.362305	-131.973145
726.745605	-132.473480
732.128906	-132.960449
737.512207	-133.444656
742.895508	-133.919113
748.278809	-134.382126
753.662109	-134.841171
759.045410	-135.289566
764.428711	-135.730453
769.812012	-136.172623
775.195312	-136.582809
780.578613	-137.054352
785.961914	-137.407242
791.345215	-137.836029
796.728516	-138.236008
802.111816	-138.615173
807.495117	-139.000854
812.878418	-139.397049
818.261719	-139.748199
823.645020	-140.120590
829.028320	-140.492264
834.411621	-140.843552
839.794922	-141.177994
845.178223	-141.544449
850.561523	-141.851364
855.944824	-142.194427
861.328125	-142.512985
866.711426	-142.818878
872.094727	-143.147049
877.478027	-143.407593
882.861328	-143.710464
888.244629	-144.002350
893.627930	-144.258270
899.011230	-144.516357
904.394531	-144.765793
909.777832	-144.991241
915.161133	-145.216553
920.544434	-145.387772
925.927734	-145.610672
931.311035	-145.747375
936.694336	-145.946487
942.077637	-145.985596
947.460938	-146.149414
952.844238	-146.196182
958.227539	-146.309311
963.610840	-146.301880
968.994141	-146.245438
974.377441	-146.287216
979.760742	-146.182678
985.144043	-146.063232
990.527344	-145.928711
995.910645	-145.773895
1001.293945	-145.583328
1006.677246	-145.347900
1012.060547	-145.097107
1017.443848	-144.793198
1022.827148	-144.491989
1028.210449	-144.146286
1033.593750	-143.766678
1038.977051	-143.376770
1044.360352	-142.965088
1049.743652	-142.506012
1055.126953	-142.047226
1060.510254	-141.580002
1065.893555	-141.066193
1071.276855	-140.538223
1076.660156	-139.998230
1082.043457	-139.440628
1087.426758	-138.863220
1092.810059	-138.260406
1098.193359	-137.648453
1103.576660	-137.009842
1108.959961	-136.361542
1114.343262	-135.689285
1119.726562	-134.998108
1125.109863	-134.277924
1130.493164	-133.538361
1135.876465	-132.794464
1141.259766	-132.015701
1146.643066	-131.213623
1152.026367	-130.389481
1157.409668	-129.526794
1162.792969	-128.639053
1168.176270	-127.724281
1173.559570	-126.774086
1178.942871	-125.787941
1184.326172	-124.765205
1189.709473	-123.700462
1195.092773	-122.590248
1200.476074	-121.430740
1205.859375	-120.219765
1211.242676	-118.950546
1216.625977	-117.615021
1222.009277	-116.209869
1227.392578	-114.725487
1232.775879	-113.153236
1238.159180	-111.477875
1243.542480	-109.690369
1248.925781	-107.771957
1254.309082	-105.701950
1259.692383	-103.453087
1265.075684	-100.933144
1270.458984	-98.156395
1275.842285	-95.235588
1281.225586	-91.808006
1286.608887	-87.844246
1291.992188	-83.155807
1297.375488	-77.405365
1302.758789	-69.930679
1308.142090	-59.053680
1313.525391	-35.063847
1318.908691	-26.241774
1324.291992	-29.728996
1329.675293	-52.503201
1335.058594	-66.052757
1340.441895	-74.571693
1345.825195	-80.892639
1351.208496	-85.941086
1356.591797	-90.151245
1361.975098	-93.754974
1367.358398	-96.317780
1372.741699	-98.722023
1378.125000	-102.201126
1383.508301	-104.596413
1388.891602	-106.720581
1394.274902	-108.680565
1399.658203	-110.501129
1405.041504	-112.202278
1410.424805	-113.795906
1415.808105	-115.297844
1421.191406	-116.716125
1426.574707	-118.059792
1431.958008	-119.338028
1437.341309	-120.556389
1442.724609	-121.715790
1448.107910	-122.826958
1453.491211	-123.892143
1458.874512	-124.917053
1464.257812	-125.898094
1469.641113	-126.845749
1475.024414	-127.759941
1480.407715	-128.639069
1485.791016	-129.492661
1491.174316	-130.319946
1496.557617	-131.120544
1501.940918	-131.888672
1507.324219	-132.640884
1512.707520	-133.368973
1518.090820	-134.077423
1523.474121	-134.769287
1528.857422	-135.444214
1534.240723	-136.093140
1539.624023	-136.730789
1545.007324	-137.354370
1550.390625	-137.957870
1555.773926	-138.554504
1561.157227	-139.135269
1566.540527	-139.699173
1571.923828	-140.247513
1577.307129	-140.798676
1582.690430	-141.316544
1588.073730	-141.831970
1593.457031	-142.334076
1598.840332	-142.830124
1604.223633	-143.326233
1609.606934	-143.793594
1614.990234	-144.260681
1620.373535	-144.713348
1625.756836	-145.160553
1631.140137	-145.605270
1636.523438	-146.018951
1641.906738	-146.429276
1647.290039	-146.832413
1652.673340	-147.242310
1658.056641	-147.599396
1663.439941	-148.061188
1668.823242	-148.389038
1674.206543	-148.730576
1679.589844	-149.081192
1684.973145	-149.406677
1690.356445	-149.737610
1695.739746	-150.070450
1701.123047	-150.352737
1706.506348	-150.622955
1711.889648	-150.925369
1717.272949	-151.171188
1722.656250	-151.386642
1728.039551	-151.660583
1733.422852	-151.818466
1738.806152	-152.033096
1744.189453	-152.197784
1749.572754	-152.338470
1754.956055	-152.452408
1760.339355	-152.545639
1765.722656	-152.609177
1771.105957	-152.673965
1776.489258	-152.671158
1781.872559	-152.676498
1787.255859	-152.639557
1792.639160	-152.574341
1798.022461	-152.486252
1803.405762	-152.396606
1808.789062	-152.264740
1814.172363	-151.995560
1819.555664	-151.810898
1824.938965	-151.729065
1830.322266	-151.462830
1835.705566	-151.235306
