Frequency (Hz)	Level (dB)
21.533203	-130.169006
43.066406	-130.194748
64.599609	-130.111923
86.132812	-130.059174
107.666016	-129.971039
129.199219	-129.833511
150.732422	-129.727890
172.265625	-129.595825
193.798828	-129.441315
215.332031	-129.250229
236.865234	-129.075851
258.398438	-128.886475
279.931641	-128.622620
301.464844	-128.444717
322.998047	-128.182144
344.531250	-127.925293
366.064453	-127.702583
387.597656	-127.375618
409.130859	-127.128075
430.664062	-126.822662
452.197266	-126.509995
473.730469	-126.204369
495.263672	-125.913170
516.796875	-125.521385
538.330078	-125.201096
559.863281	-124.864243
581.396484	-124.482948
602.929688	-124.162727
624.462891	-123.790527
645.996094	-123.362419
667.529297	-122.988937
689.062500	-122.571556
710.595703	-122.173080
732.128906	-121.749039
753.662109	-121.335648
775.195312	-120.899605
796.728516	-120.455521
818.261719	-120.000130
839.794922	-119.546768
861.328125	-119.074791
882.861328	-118.595238
904.394531	-118.104179
925.927734	-117.606819
947.460938	-117.097809
968.994141	-116.554749
990.527344	-116.041840
1012.060547	-115.496849
1033.593750	-114.934486
1055.126953	-114.365540
1076.660156	-113.779335
1098.193359	-113.183266
1119.726562	-112.566208
1141.259766	-111.937874
1162.792969	-111.293694
1184.326172	-110.627693
1205.859375	-109.945358
1227.392578	-109.246284
1248.925781	-108.524078
1270.458984	-107.781441
1291.992188	-107.019775
1313.525391	-106.239540
1335.058594	-105.414101
1356.591797	-104.568459
1378.125000	-103.697609
1399.658203	-102.794037
1421.191406	-101.856201
1442.724609	-100.884262
1464.257812	-99.872467
1485.791016	-98.818161
1507.324219	-97.717621
1528.857422	-96.567902
1550.390625	-95.362839
1571.923828	-94.097954
1593.457031	-92.766129
1614.990234	-91.361687
1636.523438	-89.875328
1658.056641	-88.294014
1679.589844	-86.612556
1701.123047	-84.808678
1722.656250	-82.866150
1744.189453	-80.746269
1765.722656	-77.947868
1787.255859	-69.961555
1808.789062	-68.405746
1830.322266	-69.808960
1851.855469	-66.494736
1873.388672	-62.350697
1894.921875	-57.392010
1916.455078	-51.208572
1937.988281	-42.939209
1959.521484	-30.066469
1981.054688	-2.513110
2002.587891	1.981166
2024.121094	-5.654328
2045.654297	-33.973473
2067.187500	-45.303654
2088.720703	-52.979057
2110.253906	-58.847809
2131.787109	-63.616276
2153.320312	-67.636597
2174.853516	-69.615959
2196.386719	-65.950600
2217.919922	-69.658684
2239.453125	-79.312302
2260.986328	-81.690796
2282.519531	-83.789574
2304.052734	-85.729454
2325.585938	-87.535286
2347.119141	-89.224648
2368.652344	-90.816147
2390.185547	-92.314911
2411.718750	-93.734230
2433.251953	-95.084167
2454.785156	-96.368149
2476.318359	-97.592545
2497.851562	-98.764275
2519.384766	-99.887367
2540.917969	-100.963875
2562.451172	-101.999237
2583.984375	-102.998535
2605.517578	-103.960243
2627.050781	-104.888435
2648.583984	-105.787987
2670.117188	-106.658981
2691.650391	-107.514473
2713.183594	-108.319069
2734.716797	-109.111786
2756.250000	-109.882729
2777.783203	-110.631020
2799.316406	-111.363449
2820.849609	-112.076019
2842.382812	-112.763702
2863.916016	-113.445030
2885.449219	-114.104347
2906.982422	-114.745506
2928.515625	-115.378098
2950.048828	-115.991165
2971.582031	-116.597015
2993.115234	-117.181046
3014.648438	-117.759499
3036.181641	-118.311806
3057.714844	-118.879280
3079.248047	-119.419388
3100.781250	-119.957130
3122.314453	-120.476677
3143.847656	-120.990288
3165.380859	-121.486900
3186.914062	-121.989807
3208.447266	-122.474426
3229.980469	-122.938644
3251.513672	-123.416283
3273.046875	-123.866417
3294.580078	-124.313782
3316.113281	-124.773560
3337.646484	-125.177788
3359.179688	-125.650948
3380.712891	-126.084496
3402.246094	-126.438797
3423.779297	-126.862709
3445.312500	-127.232552
3466.845703	-127.622772
3488.378906	-128.033615
3509.912109	-128.328354
3531.445312	-128.691940
3552.978516	-129.100616
3574.511719	-129.432373
3596.044922	-129.738434
3617.578125	-130.115982
3639.111328	-130.372116
3660.644531	-130.708755
3682.177734	-130.996994
3703.710938	-131.262146
3725.244141	-131.481873
3746.777344	-131.762299
3768.310547	-132.003983
3789.843750	-132.227234
3811.376953	-132.419022
3832.910156	-132.610641
3854.443359	-132.786331
3875.976562	-132.902832
3897.509766	-133.046036
3919.042969	-133.116547
3940.576172	-133.255249
3962.109375	-133.274460
3983.642578	-133.344238
4005.175781	-133.349854
4026.708984	-133.336075
4048.242188	-133.321823
4069.775391	-133.359848
4091.308594	-133.208694
4112.841797	-133.089233
4134.375000	-133.022430
4155.908203	-132.866501
4177.441406	-132.714127
4198.974609	-132.549683
4220.507812	-132.386963
4242.041016	-132.171005
4263.574219	-131.963867
4285.107422	-131.713196
4306.640625	-131.467209
4328.173828	-131.215363
4349.707031	-130.943176
4371.240234	-130.678131
4392.773438	-130.365707
4414.306641	-130.055832
4435.839844	-129.751877
4457.373047	-129.415253
4478.906250	-129.092407
4500.439453	-128.762650
4521.972656	-128.392914
4543.505859	-128.049957
4565.039062	-127.677399
4586.572266	-127.289841
4608.105469	-126.910492
4629.638672	-126.558708
4651.171875	-126.123970
4672.705078	-125.720665
4694.238281	-125.299942
4715.771484	-124.877357
4737.304688	-124.444290
4758.837891	-124.017456
4780.371094	-123.556648
4801.904297	-123.099152
4823.437500	-122.630081
4844.970703	-122.159088
4866.503906	-121.670753
4888.037109	-121.173271
4909.570312	-120.670677
4931.103516	-120.155075
4952.636719	-119.633255
4974.169922	-119.087891
4995.703125	-118.542030
5017.236328	-117.985756
5038.769531	-117.408768
5060.302734	-116.820099
5081.835938	-116.219124
5103.369141	-115.602440
5124.902344	-114.973030
5146.435547	-114.326035
5167.968750	-113.664841
5189.501953	-112.982887
5211.035156	-112.283974
5232.568359	-111.566071
5254.101562	-110.827049
5275.634766	-110.066467
5297.167969	-109.277962
5318.701172	-108.476196
5340.234375	-107.639816
5361.767578	-106.777138
5383.300781	-105.885834
5404.833984	-104.961815
5426.367188	-104.003380
5447.900391	-103.008583
5469.433594	-101.973999
5490.966797	-100.895592
5512.500000	-99.771042
5534.033203	-98.595467
5555.566406	-97.363556
5577.099609	-96.070198
5598.632812	-94.708076
5620.166016	-93.271873
5641.699219	-91.751122
5663.232422	-90.134193
5684.765625	-88.410545
5706.298828	-86.562683
5727.832031	-84.570320
5749.365234	-82.387215
5770.898438	-78.543083
5792.431641	-71.395058
5813.964844	-71.473526
5835.498047	-71.335777
5857.031250	-67.672592
5878.564453	-63.344299
5900.097656	-58.125435
5921.630859	-51.533947
5943.164062	-42.501339
5964.697266	-27.398106
5986.230469	-10.119800
6007.763672	-8.500859
6029.296875	-19.838186
6050.830078	-39.234386
6072.363281	-49.354610
6093.896484	-56.481869
6115.429688	-62.026806
6136.962891	-66.577347
6158.496094	-70.437492
6180.029297	-67.674469
6201.562500	-63.594025
6223.095703	-70.228561
6244.628906	-81.826195
6266.162109	-84.065742
6287.695312	-86.106979
6309.228516	-87.998299
6330.761719	-89.761223
6352.294922	-91.412163
6373.828125	-92.964722
6395.361328	-94.425896
6416.894531	-95.815399
6438.427734	-97.136299
6459.960938	-98.391075
6481.494141	-99.587936
6503.027344	-100.733032
6524.560547	-101.829750
6546.093750	-102.882378
6567.626953	-103.893890
6589.160156	-104.869003
6610.693359	-105.808159
6632.226562	-106.714661
6653.759766	-107.592056
6675.292969	-108.435760
6696.826172	-109.264366
6718.359375	-110.058441
6739.892578	-110.831779
6761.425781	-111.584106
6782.958984	-112.312935
6804.492188	-113.025459
6826.025391	-113.716377
6847.558594	-114.389946
6869.091797	-115.045715
6890.625000	-115.688728
6912.158203	-116.314171
6933.691406	-116.926003
6955.224609	-117.523430
6976.757812	-118.108765
6998.291016	-118.678963
7019.824219	-119.239594
7041.357422	-119.787109
7062.890625	-120.321335
7084.423828	-120.849083
7105.957031	-121.363319
7127.490234	-121.872040
7149.023438	-122.361725
7170.556641	-122.845406
7192.089844	-123.329857
7213.623047	-123.798340
7235.156250	-124.255371
7256.689453	-124.706635
7278.222656	-125.153419
7299.755859	-125.586395
7321.289062	-126.023499
7342.822266	-126.432274
7364.355469	-126.836235
7385.888672	-127.310188
7407.421875	-127.661369
7428.955078	-128.062897
7450.488281	-128.437973
7472.021484	-128.813507
7493.554688	-129.215469
7515.087891	-129.559647
7536.621094	-129.900040
7558.154297	-130.279282
7579.687500	-130.626266
7601.220703	-130.958908
7622.753906	-131.311081
7644.287109	-131.604355
7665.820312	-131.928848
7687.353516	-132.244171
7708.886719	-132.555954
7730.419922	-132.853180
7751.953125	-133.129333
7773.486328	-133.412750
