Frequency (Hz)	Level (dB)
5.383301	-36.090031
10.766602	-36.422718
16.149902	-36.291801
21.533203	-35.676659
26.916504	-35.519009
32.299805	-35.752983
37.683105	-36.080193
43.066406	-35.995033
48.449707	-36.181183
53.833008	-36.029060
59.216309	-36.121460
64.599609	-36.233803
69.982910	-35.785603
75.366211	-35.717312
80.749512	-35.984715
86.132812	-36.085293
91.516113	-36.340088
96.899414	-36.341187
102.282715	-36.089344
107.666016	-36.067650
113.049316	-36.383408
118.432617	-36.345387
123.815918	-36.450684
129.199219	-35.813210
134.582520	-35.897270
139.965820	-36.524380
145.349121	-36.091881
150.732422	-35.946548
156.115723	-35.819656
161.499023	-35.805901
166.882324	-36.238308
172.265625	-36.320538
177.648926	-35.963390
183.032227	-36.096798
188.415527	-36.368416
193.798828	-36.287388
199.182129	-35.946529
204.565430	-35.724545
209.948730	-36.260323
215.332031	-36.433571
220.715332	-36.117298
226.098633	-36.142204
231.481934	-36.000153
236.865234	-36.070694
242.248535	-36.095100
247.631836	-35.905983
253.015137	-36.055412
258.398438	-36.297264
263.781738	-35.972397
269.165039	-35.943966
274.548340	-36.144161
279.931641	-35.938843
285.314941	-36.302071
290.698242	-36.315643
296.081543	-36.399719
301.464844	-36.059204
306.848145	-35.913986
312.231445	-36.116909
317.614746	-36.190441
322.998047	-36.319839
328.381348	-35.864254
333.764648	-36.058350
339.147949	-36.048897
344.531250	-35.953812
349.914551	-35.876678
355.297852	-36.017746
360.681152	-35.884167
366.064453	-35.640038
371.447754	-35.790871
376.831055	-36.166344
382.214355	-35.953926
387.597656	-35.821655
392.980957	-35.995979
398.364258	-36.329517
403.747559	-36.115509
409.130859	-35.827278
414.514160	-35.844994
419.897461	-36.260132
425.280762	-36.329144
430.664062	-36.493797
436.047363	-36.214577
441.430664	-35.888580
446.813965	-36.132240
452.197266	-35.681393
457.580566	-35.815384
462.963867	-36.330601
468.347168	-36.249439
473.730469	-36.352840
479.113770	-36.563015
484.497070	-36.128113
489.880371	-36.020401
495.263672	-36.404572
500.646973	-36.202610
506.030273	-36.052696
511.413574	-36.000359
516.796875	-36.515396
522.180176	-36.138714
527.563477	-36.155251
532.946777	-36.507786
538.330078	-36.175270
543.713379	-36.475803
549.096680	-36.192093
554.479980	-35.956551
559.863281	-36.231647
565.246582	-36.057320
570.629883	-35.996311
576.013184	-36.074947
581.396484	-36.077805
586.779785	-35.939667
592.163086	-35.775799
597.546387	-36.010235
602.929688	-35.881725
608.312988	-36.075584
613.696289	-36.335300
619.079590	-36.465851
624.462891	-36.242790
629.846191	-36.286339
635.229492	-36.368721
640.612793	-36.428452
645.996094	-36.271965
651.379395	-35.822338
656.762695	-35.954628
662.145996	-36.085625
667.529297	-36.106079
672.912598	-36.362522
678.295898	-36.152981
683.679199	-36.047928
689.062500	-35.827927
694.445801	-35.716640
699.829102	-35.941643
705.212402	-35.949196
710.595703	-36.548340
715.979004	-36.367474
721.362305	-35.978497
726.745605	-36.102135
732.128906	-36.387501
737.512207	-36.767910
742.895508	-36.742847
748.278809	-36.076767
753.662109	-35.763695
759.045410	-35.732174
764.428711	-36.124836
769.812012	-36.159954
775.195312	-36.319061
780.578613	-36.173847
785.961914	-35.921139
791.345215	-36.152119
796.728516	-36.086052
802.111816	-36.129349
807.495117	-36.275818
812.878418	-36.344120
818.261719	-36.305756
823.645020	-35.938461
829.028320	-36.062748
834.411621	-36.272156
839.794922	-36.472248
845.178223	-36.079041
850.561523	-36.439854
855.944824	-36.298111
861.328125	-36.102528
866.711426	-36.032078
872.094727	-36.469017
877.478027	-36.509277
882.861328	-36.163353
888.244629	-35.925484
893.627930	-35.900429
899.011230	-36.321529
904.394531	-36.257904
909.777832	-35.722519
915.161133	-36.000820
920.544434	-36.534092
925.927734	-36.247120
931.311035	-36.453674
