Frequency (Hz)	Level (dB)
10.766602	-33.470070
21.533203	-33.652328
32.299805	-32.954659
43.066406	-32.784935
53.833008	-32.622635
64.599609	-33.110088
75.366211	-32.855545
86.132812	-32.934647
96.899414	-33.255348
107.666016	-32.928619
118.432617	-32.783607
129.199219	-32.858601
139.965820	-32.430180
150.732422	-32.784916
161.499023	-32.384289
172.265625	-33.254147
183.032227	-33.278309
193.798828	-32.825356
204.565430	-32.843533
215.332031	-33.395512
226.098633	-33.617130
236.865234	-32.645821
247.631836	-32.863842
258.398438	-33.235271
269.165039	-32.662632
279.931641	-32.910049
290.698242	-33.317928
301.464844	-32.906738
312.231445	-33.141869
322.998047	-32.049320
333.764648	-32.117271
344.531250	-33.149689
355.297852	-33.695408
366.064453	-33.198364
376.831055	-33.224831
387.597656	-33.377827
398.364258	-33.195786
409.130859	-33.425732
419.897461	-33.082142
430.664062	-33.651344
441.430664	-33.918255
452.197266	-33.598995
462.963867	-32.913059
473.730469	-33.143795
484.497070	-33.273212
495.263672	-33.454662
506.030273	-33.563946
516.796875	-33.561119
527.563477	-33.139805
538.330078	-32.914215
549.096680	-32.831615
559.863281	-33.344810
570.629883	-33.276760
581.396484	-33.082329
592.163086	-33.077705
602.929688	-33.063934
613.696289	-33.463615
624.462891	-33.646564
635.229492	-32.882874
645.996094	-31.936523
656.762695	-32.705441
667.529297	-33.300285
678.295898	-33.332184
689.062500	-33.177517
699.829102	-33.455914
710.595703	-33.478191
721.362305	-32.970474
732.128906	-33.067757
742.895508	-33.371223
753.662109	-33.114086
764.428711	-33.216084
775.195312	-33.187336
785.961914	-32.607677
796.728516	-32.920071
807.495117	-33.040844
818.261719	-33.005634
829.028320	-32.963982
839.794922	-33.122963
850.561523	-33.315765
861.328125	-33.286568
872.094727	-33.217220
882.861328	-33.181778
893.627930	-33.431221
904.394531	-33.545376
915.161133	-32.774586
925.927734	-32.316799
936.694336	-32.524300
947.460938	-32.967518
958.227539	-33.672398
968.994141	-33.780910
979.760742	-33.227348
990.527344	-33.131508
1001.293945	-32.964100
1012.060547	-33.329422
1022.827148	-33.773418
1033.593750	-32.885662
1044.360352	-32.468578
1055.126953	-32.855022
1065.893555	-32.965603
1076.660156	-33.217358
1087.426758	-32.594517
1098.193359	-33.205898
1108.959961	-33.315445
1119.726562	-32.909195
1130.493164	-32.763683
1141.259766	-32.536823
1152.026367	-33.107044
1162.792969	-33.440697
1173.559570	-33.198223
1184.326172	-33.096546
1195.092773	-33.242615
1205.859375	-33.335781
1216.625977	-33.390919
1227.392578	-33.337399
1238.159180	-32.588528
1248.925781	-32.582436
1259.692383	-32.895405
1270.458984	-33.108025
1281.225586	-32.732697
1291.992188	-32.469498
1302.758789	-32.382442
1313.525391	-32.607449
1324.291992	-34.029854
1335.058594	-33.705379
1345.825195	-33.194916
1356.591797	-33.374905
1367.358398	-33.254814
1378.125000	-33.525265
1388.891602	-33.252457
1399.658203	-32.727188
1410.424805	-32.466419
1421.191406	-32.576107
1431.958008	-32.837135
1442.724609	-33.214077
1453.491211	-33.452053
1464.257812	-33.325371
1475.024414	-33.528454
1485.791016	-33.803474
1496.557617	-33.130375
1507.324219	-33.416691
1518.090820	-32.969566
1528.857422	-32.598877
1539.624023	-32.891399
1550.390625	-33.290215
1561.157227	-32.869286
1571.923828	-33.027859
1582.690430	-33.420212
1593.457031	-33.493305
1604.223633	-33.174355
1614.990234	-33.345863
1625.756836	-33.766850
1636.523438	-33.619865
1647.290039	-33.440266
1658.056641	-33.214096
1668.823242	-33.363773
1679.589844	-32.697659
1690.356445	-32.606819
1701.123047	-33.353207
1711.889648	-33.675510
1722.656250	-33.829418
1733.422852	-33.472813
1744.189453	-33.077648
1754.956055	-32.787895
1765.722656	-32.850868
1776.489258	-32.508923
1787.255859	-32.483814
1798.022461	-32.171150
1808.789062	-32.417366
1819.555664	-32.771214
1830.322266	-33.256428
1841.088867	-32.901485
1851.855469	-32.159084
1862.622070	-32.314568
1873.388672	-32.620522
1884.155273	-33.165886
1894.921875	-33.419659
1905.688477	-33.247120
1916.455078	-33.028133
1927.221680	-32.818741
1937.988281	-33.558495
1948.754883	-33.550270
1959.521484	-33.266342
1970.288086	-33.140003
1981.054688	-33.213341
1991.821289	-33.574493
2002.587891	-33.555645
2013.354492	-32.667091
2024.121094	-32.843796
2034.887695	-32.947212
2045.654297	-32.862782
2056.420898	-33.063858
2067.187500	-32.995407
2077.954102	-32.859253
2088.720703	-33.214809
2099.487305	-33.221268
2110.253906	-33.418777
2121.020508	-33.207916
2131.787109	-33.044003
2142.553711	-33.283840
2153.320312	-33.456268
2164.086914	-33.126064
2174.853516	-33.205650
2185.620117	-33.425453
2196.386719	-33.027424
2207.153320	-32.918365
2217.919922	-33.249985
2228.686523	-32.800068
