Frequency (Hz)	Level (dB)
21.533203	-32.797821
43.066406	-32.866753
64.599609	-32.867107
86.132812	-32.997494
107.666016	-33.028324
129.199219	-32.888538
150.732422	-33.094395
172.265625	-33.005882
193.798828	-32.938381
215.332031	-33.148277
236.865234	-33.147720
258.398438	-33.077141
279.931641	-33.115036
301.464844	-33.321678
322.998047	-33.231190
344.531250	-33.063519
366.064453	-33.064739
387.597656	-33.366650
409.130859	-33.133484
430.664062	-33.095051
452.197266	-33.353748
473.730469	-32.972450
495.263672	-32.862778
516.796875	-33.310329
538.330078	-33.380177
559.863281	-33.178104
581.396484	-33.078072
602.929688	-32.872841
624.462891	-33.147102
645.996094	-33.133106
667.529297	-33.175240
689.062500	-33.251202
710.595703	-33.080757
732.128906	-33.149765
753.662109	-33.230556
775.195312	-33.132942
796.728516	-33.118988
818.261719	-33.208687
839.794922	-33.056019
861.328125	-33.273651
882.861328	-33.016731
904.394531	-33.207153
925.927734	-33.234142
947.460938	-32.917828
968.994141	-33.179665
990.527344	-33.004745
1012.060547	-32.659573
1033.593750	-32.946781
1055.126953	-33.078037
1076.660156	-33.187294
1098.193359	-33.195049
1119.726562	-32.989120
1141.259766	-32.880527
1162.792969	-32.812962
1184.326172	-32.889252
1205.859375	-32.757111
1227.392578	-32.980034
1248.925781	-32.734833
1270.458984	-32.910965
1291.992188	-33.231602
1313.525391	-33.086712
1335.058594	-33.264015
1356.591797	-33.215431
1378.125000	-33.394669
1399.658203	-33.287121
1421.191406	-33.175270
1442.724609	-33.117905
1464.257812	-32.948620
1485.791016	-33.022358
1507.324219	-32.970501
1528.857422	-33.091461
1550.390625	-33.211170
1571.923828	-33.071220
1593.457031	-33.194164
1614.990234	-33.022732
1636.523438	-33.072933
1658.056641	-33.286190
1679.589844	-33.174297
1701.123047	-33.296841
1722.656250	-33.220242
1744.189453	-32.944935
1765.722656	-32.985733
1787.255859	-33.178493
1808.789062	-33.456867
1830.322266	-33.239418
1851.855469	-33.354424
1873.388672	-33.321629
1894.921875	-32.908901
1916.455078	-32.861900
1937.988281	-32.913429
1959.521484	-33.018284
1981.054688	-32.784637
2002.587891	-32.839470
2024.121094	-33.277534
2045.654297	-33.225090
2067.187500	-32.958233
2088.720703	-33.051788
2110.253906	-33.279690
2131.787109	-33.455597
2153.320312	-33.388096
2174.853516	-33.146961
2196.386719	-32.871429
2217.919922	-32.876118
2239.453125	-33.050400
2260.986328	-33.154026
2282.519531	-33.329639
2304.052734	-33.218277
2325.585938	-32.692467
2347.119141	-32.790855
2368.652344	-33.255306
2390.185547	-33.305111
2411.718750	-33.412468
2433.251953	-33.207024
2454.785156	-33.257191
2476.318359	-33.253525
2497.851562	-33.315117
2519.384766	-32.963505
2540.917969	-33.155956
2562.451172	-33.071209
2583.984375	-32.908291
2605.517578	-33.143738
2627.050781	-33.049297
2648.583984	-33.162052
2670.117188	-32.973557
2691.650391	-33.094540
2713.183594	-33.028229
2734.716797	-32.937927
2756.250000	-32.992741
2777.783203	-32.983932
2799.316406	-33.209595
2820.849609	-32.811481
2842.382812	-32.912605
2863.916016	-32.977459
2885.449219	-33.029072
2906.982422	-33.205608
2928.515625	-33.207336
2950.048828	-33.175480
2971.582031	-33.183113
2993.115234	-33.372673
3014.648438	-32.956638
3036.181641	-32.716816
3057.714844	-32.992611
3079.248047	-32.969582
3100.781250	-33.039192
3122.314453	-33.185493
3143.847656	-33.202274
3165.380859	-32.686134
3186.914062	-32.940598
3208.447266	-32.877659
3229.980469	-33.097309
3251.513672	-32.950390
3273.046875	-33.113571
3294.580078	-33.148293
3316.113281	-33.140087
3337.646484	-33.068645
3359.179688	-33.101036
3380.712891	-33.206745
3402.246094	-33.193695
3423.779297	-33.145729
3445.312500	-33.050117
3466.845703	-33.223843
3488.378906	-33.264057
3509.912109	-33.115929
3531.445312	-32.853386
3552.978516	-32.739838
3574.511719	-32.742268
3596.044922	-32.842510
3617.578125	-33.104263
3639.111328	-33.298767
3660.644531	-33.225357
3682.177734	-33.059551
3703.710938	-33.223488
3725.244141	-32.788830
3746.777344	-33.086128
3768.310547	-33.200764
3789.843750	-33.213753
3811.376953	-33.168629
3832.910156	-33.520374
3854.443359	-33.371014
3875.976562	-33.299141
3897.509766	-33.148651
3919.042969	-33.320168
3940.576172	-33.344635
3962.109375	-33.242489
3983.642578	-33.131203
4005.175781	-33.120209
4026.708984	-33.092167
4048.242188	-33.092579
4069.775391	-33.097115
4091.308594	-33.123188
4112.841797	-33.056316
4134.375000	-33.014172
4155.908203	-32.866913
4177.441406	-32.969154
4198.974609	-33.025528
4220.507812	-32.998306
4242.041016	-32.773464
4263.574219	-33.090691
4285.107422	-33.477287
4306.640625	-33.263428
4328.173828	-33.207283
4349.707031	-32.943470
4371.240234	-32.999367
4392.773438	-33.059086
4414.306641	-33.382061
4435.839844	-33.160770
4457.373047	-33.217548
4478.906250	-33.107533
4500.439453	-32.778400
4521.972656	-32.934574
4543.505859	-32.937222
4565.039062	-32.790943
4586.572266	-33.193871
4608.105469	-33.276649
4629.638672	-32.989834
4651.171875	-33.043186
4672.705078	-32.990070
4694.238281	-32.819500
4715.771484	-33.110012
4737.304688	-33.139687
4758.837891	-33.207314
4780.371094	-33.245518
4801.904297	-33.180004
4823.437500	-33.094425
4844.970703	-33.077263
4866.503906	-33.121517
4888.037109	-33.078606
4909.570312	-33.234489
4931.103516	-33.002689
4952.636719	-33.087696
4974.169922	-33.032330
4995.703125	-32.964020
5017.236328	-32.993217
5038.769531	-33.141697
5060.302734	-33.143639
5081.835938	-33.319851
5103.369141	-33.286667
5124.902344	-33.121620
5146.435547	-33.157978
5167.968750	-33.392635
5189.501953	-33.377701
5211.035156	-33.113041
5232.568359	-32.856232
5254.101562	-33.353790
5275.634766	-33.193539
5297.167969	-33.366184
5318.701172	-33.179821
5340.234375	-32.800785
5361.767578	-32.935097
5383.300781	-33.282654
5404.833984	-33.110550
5426.367188	-33.475796
5447.900391	-33.029560
5469.433594	-32.913315
5490.966797	-33.010521
5512.500000	-33.190540
5534.033203	-33.388496
5555.566406	-33.040577
5577.099609	-32.786068
5598.632812	-33.034870
5620.166016	-33.240616
5641.699219	-32.954563
5663.232422	-32.792496
5684.765625	-32.975555
5706.298828	-33.306320
5727.832031	-33.501842
5749.365234	-33.369453
5770.898438	-33.234150
5792.431641	-33.145863
5813.964844	-33.129635
5835.498047	-33.031570
5857.031250	-33.019447
5878.564453	-32.983154
5900.097656	-33.130642
5921.630859	-33.081619
5943.164062	-33.064247
5964.697266	-33.003426
5986.230469	-33.105381
6007.763672	-32.977009
6029.296875	-32.988884
6050.830078	-33.094238
6072.363281	-32.996716
6093.896484	-33.125530
6115.429688	-32.840214
6136.962891	-32.973408
6158.496094	-32.992519
6180.029297	-33.181606
6201.562500	-32.905453
6223.095703	-32.609440
6244.628906	-32.977840
6266.162109	-33.333935
6287.695312	-33.506069
6309.228516	-33.240074
6330.761719	-33.077339
6352.294922	-33.093845
6373.828125	-33.252838
6395.361328	-33.218868
6416.894531	-32.949074
6438.427734	-33.011494
6459.960938	-32.919010
6481.494141	-32.907955
6503.027344	-32.928978
6524.560547	-33.107388
6546.093750	-33.090302
6567.626953	-33.015385
6589.160156	-32.837170
6610.693359	-32.938919
6632.226562	-33.001904
6653.759766	-32.862171
6675.292969	-33.088585
6696.826172	-33.284988
6718.359375	-33.117428
6739.892578	-32.990055
6761.425781	-33.180450
6782.958984	-33.197765
6804.492188	-33.134235
6826.025391	-33.582699
6847.558594	-33.683212
6869.091797	-33.410736
6890.625000	-33.106983
6912.158203	-33.140503
6933.691406	-33.038818
6955.224609	-33.137520
6976.757812	-33.092628
6998.291016	-33.114666
