Frequency (Hz)	Level (dB)
10.766602	-37.116730
21.533203	-37.403324
32.299805	-37.371307
43.066406	-37.434772
53.833008	-37.636261
64.599609	-37.490353
75.366211	-37.015450
86.132812	-37.368511
96.899414	-36.651573
107.666016	-37.205700
118.432617	-36.831890
129.199219	-36.721405
139.965820	-37.352955
150.732422	-37.403416
161.499023	-37.221741
172.265625	-36.959900
183.032227	-37.458946
193.798828	-37.026855
204.565430	-36.678654
215.332031	-36.919704
226.098633	-37.594856
236.865234	-37.261215
247.631836	-37.756042
258.398438	-37.100338
269.165039	-37.724598
279.931641	-36.942825
290.698242	-37.548512
301.464844	-37.667076
312.231445	-37.185551
322.998047	-36.879074
333.764648	-36.894665
344.531250	-36.692356
355.297852	-36.429630
366.064453	-37.644230
376.831055	-37.337742
387.597656	-37.641098
398.364258	-36.361954
409.130859	-36.834702
419.897461	-36.992165
430.664062	-36.813442
441.430664	-37.057556
452.197266	-37.677715
462.963867	-37.078884
473.730469	-36.408348
484.497070	-37.488258
495.263672	-37.294235
506.030273	-37.205727
516.796875	-36.658882
527.563477	-36.977928
538.330078	-36.868694
549.096680	-36.901684
559.863281	-38.115662
570.629883	-37.498486
581.396484	-37.500584
592.163086	-37.493481
602.929688	-37.596642
613.696289	-37.146412
624.462891	-37.047863
635.229492	-37.043655
645.996094	-37.156765
656.762695	-36.646145
667.529297	-37.766556
678.295898	-37.186661
689.062500	-37.133190
699.829102	-37.221737
710.595703	-37.122761
721.362305	-37.067127
732.128906	-36.837082
742.895508	-37.251484
753.662109	-37.264877
764.428711	-37.589302
775.195312	-37.246899
785.961914	-37.384243
796.728516	-37.434933
807.495117	-37.727291
818.261719	-37.221668
829.028320	-36.696621
839.794922	-37.145603
850.561523	-36.549229
861.328125	-37.375175
872.094727	-37.153683
882.861328	-37.691410
893.627930	-36.233250
904.394531	-37.395672
915.161133	-37.491268
925.927734	-37.117752
936.694336	-37.485176
947.460938	-37.360046
958.227539	-37.511669
968.994141	-37.434418
979.760742	-37.376579
990.527344	-36.691280
1001.293945	-36.494347
1012.060547	-37.342319
1022.827148	-36.362919
1033.593750	-36.127857
1044.360352	-37.076607
1055.126953	-36.654419
1065.893555	-36.618465
1076.660156	-36.944016
1087.426758	-37.041374
1098.193359	-37.736519
1108.959961	-36.376827
1119.726562	-37.079235
1130.493164	-37.206593
1141.259766	-37.443428
1152.026367	-37.398766
1162.792969	-36.669926
1173.559570	-37.194221
1184.326172	-37.061710
1195.092773	-37.072166
1205.859375	-37.059097
1216.625977	-37.247913
1227.392578	-37.259258
1238.159180	-36.882572
1248.925781	-37.372108
1259.692383	-37.298409
1270.458984	-36.963436
1281.225586	-37.364307
1291.992188	-37.097412
1302.758789	-37.155968
1313.525391	-36.773064
1324.291992	-37.060432
1335.058594	-36.684071
1345.825195	-37.151966
1356.591797	-36.990459
1367.358398	-37.142876
1378.125000	-36.923847
1388.891602	-37.037262
1399.658203	-38.038498
1410.424805	-37.608318
1421.191406	-37.020760
1431.958008	-37.237148
1442.724609	-37.167366
1453.491211	-36.986698
1464.257812	-37.102985
1475.024414	-36.928749
1485.791016	-36.285641
1496.557617	-36.551807
1507.324219	-36.806129
1518.090820	-36.933228
1528.857422	-36.795948
1539.624023	-37.236115
1550.390625	-36.628513
1561.157227	-37.246544
1571.923828	-36.851120
1582.690430	-37.761513
1593.457031	-37.267521
1604.223633	-37.221973
1614.990234	-37.003063
1625.756836	-37.168106
1636.523438	-36.829590
1647.290039	-36.984249
1658.056641	-37.493271
1668.823242	-36.668137
1679.589844	-36.874596
1690.356445	-37.111591
1701.123047	-36.998013
1711.889648	-36.587543
1722.656250	-36.760403
1733.422852	-36.833797
1744.189453	-37.059746
1754.956055	-37.457645
1765.722656	-37.147701
1776.489258	-36.691936
1787.255859	-37.145679
1798.022461	-37.286282
1808.789062	-36.925755
1819.555664	-37.372414
1830.322266	-36.723526
1841.088867	-36.790005
1851.855469	-37.969761
1862.622070	-36.850517
1873.388672	-37.133492
1884.155273	-36.868565
1894.921875	-36.485443
1905.688477	-36.950787
1916.455078	-36.965324
1927.221680	-36.558395
1937.988281	-37.113342
1948.754883	-37.025269
1959.521484	-37.092087
1970.288086	-37.163593
1981.054688	-37.140484
1991.821289	-37.039886
2002.587891	-37.293617
2013.354492	-37.190304
2024.121094	-36.723583
2034.887695	-37.002525
2045.654297	-36.726845
2056.420898	-37.498455
2067.187500	-36.861820
2077.954102	-36.995892
2088.720703	-37.281433
2099.487305	-36.386169
2110.253906	-36.943226
2121.020508	-37.746712
2131.787109	-37.354099
2142.553711	-37.067860
2153.320312	-37.307831
2164.086914	-36.933693
2174.853516	-36.407089
2185.620117	-37.600582
2196.386719	-37.541500
2207.153320	-36.822628
2217.919922	-37.742378
2228.686523	-37.380009
2239.453125	-37.427505
2250.219727	-37.280064
2260.986328	-36.948601
2271.752930	-37.403114
2282.519531	-37.251415
2293.286133	-36.995773
2304.052734	-37.415836
2314.819336	-36.931366
2325.585938	-36.808533
2336.352539	-37.132130
2347.119141	-37.404209
2357.885742	-36.826351
2368.652344	-37.445862
2379.418945	-37.481026
2390.185547	-37.066795
2400.952148	-37.844223
2411.718750	-37.157642
2422.485352	-37.040741
2433.251953	-36.675617
2444.018555	-36.990246
2454.785156	-37.290161
2465.551758	-37.311867
2476.318359	-37.393795
2487.084961	-37.022572
2497.851562	-36.517227
2508.618164	-37.210232
2519.384766	-36.994839
2530.151367	-37.527771
2540.917969	-37.369762
2551.684570	-37.240288
2562.451172	-37.503952
2573.217773	-37.219517
2583.984375	-37.297737
2594.750977	-37.039028
2605.517578	-37.290928
2616.284180	-37.170956
2627.050781	-36.731491
2637.817383	-37.019047
2648.583984	-37.721260
2659.350586	-37.375828
2670.117188	-36.858963
2680.883789	-37.404285
2691.650391	-37.104362
2702.416992	-37.487415
2713.183594	-37.144455
2723.950195	-36.812775
2734.716797	-36.920670
2745.483398	-37.949497
2756.250000	-36.919907
2767.016602	-37.175266
2777.783203	-37.173584
2788.549805	-36.692719
2799.316406	-37.278374
2810.083008	-37.519577
2820.849609	-37.055927
2831.616211	-36.674427
2842.382812	-37.439537
2853.149414	-36.856625
2863.916016	-36.910789
2874.682617	-37.416843
2885.449219	-36.700710
2896.215820	-37.188110
2906.982422	-37.513020
2917.749023	-37.329201
2928.515625	-36.823418
2939.282227	-36.850727
2950.048828	-37.380363
2960.815430	-37.174072
2971.582031	-37.240513
2982.348633	-37.371185
2993.115234	-36.788155
3003.881836	-36.906250
3014.648438	-37.196892
3025.415039	-36.924141
3036.181641	-37.526615
3046.948242	-37.233086
3057.714844	-37.469334
3068.481445	-37.387825
3079.248047	-36.923878
3090.014648	-37.682625
3100.781250	-37.866917
3111.547852	-37.661530
3122.314453	-37.338032
3133.081055	-36.816631
3143.847656	-37.675690
3154.614258	-37.013664
3165.380859	-36.308899
3176.147461	-37.141571
3186.914062	-36.914799
3197.680664	-37.333969
3208.447266	-36.876068
3219.213867	-37.054283
3229.980469	-37.598301
3240.747070	-37.220181
3251.513672	-36.850853
3262.280273	-37.101135
3273.046875	-37.207058
3283.813477	-37.335468
3294.580078	-37.464508
3305.346680	-37.637650
3316.113281	-37.288696
3326.879883	-37.681679
3337.646484	-37.042233
3348.413086	-37.953381
3359.179688	-37.866779
3369.946289	-36.374710
3380.712891	-36.878048
3391.479492	-37.153645
3402.246094	-36.632572
3413.012695	-37.081383
3423.779297	-37.122124
3434.545898	-37.724068
3445.312500	-36.836246
3456.079102	-36.501564
3466.845703	-36.995449
3477.612305	-36.824688
3488.378906	-37.293053
3499.145508	-37.662052
3509.912109	-36.927593
3520.678711	-37.190079
3531.445312	-36.969421
3542.211914	-37.177021
3552.978516	-37.224892
3563.745117	-36.870529
3574.511719	-37.171650
3585.278320	-36.192406
3596.044922	-38.250717
3606.811523	-36.405533
3617.578125	-36.577518
3628.344727	-36.416275
3639.111328	-36.715137
3649.877930	-36.705662
3660.644531	-37.538708
3671.411133	-37.440723
3682.177734	-37.382828
3692.944336	-37.030369
3703.710938	-37.004925
3714.477539	-37.091854
3725.244141	-37.340134
3736.010742	-36.986073
3746.777344	-36.417561
3757.543945	-36.991783
3768.310547	-37.224442
3779.077148	-37.335274
3789.843750	-37.007805
3800.610352	-37.122673
3811.376953	-37.360928
3822.143555	-37.433250
3832.910156	-37.053921
3843.676758	-37.566799
3854.443359	-37.134636
3865.209961	-37.245995
3875.976562	-36.952496
3886.743164	-37.317993
3897.509766	-37.291550
3908.276367	-37.423737
3919.042969	-37.466202
3929.809570	-37.261299
3940.576172	-36.971191
3951.342773	-37.299820
3962.109375	-37.089828
3972.875977	-37.687218
3983.642578	-37.202171
3994.409180	-36.907635
4005.175781	-36.670612
4015.942383	-37.098045
4026.708984	-36.858704
4037.475586	-37.500034
4048.242188	-36.996723
4059.008789	-37.102264
4069.775391	-37.180489
4080.541992	-37.687416
4091.308594	-36.508827
4102.075195	-37.130196
4112.841797	-37.299503
4123.608398	-37.145309
4134.375000	-37.544922
4145.141602	-36.627510
4155.908203	-37.142647
4166.674805	-37.767300
4177.441406	-36.786121
4188.208008	-37.021973
4198.974609	-37.109913
4209.741211	-37.007633
4220.507812	-36.613434
4231.274414	-36.693394
4242.041016	-37.196037
4252.807617	-37.462139
4263.574219	-37.178207
4274.340820	-37.191593
4285.107422	-37.103130
