Frequency (Hz)	Level (dB)
10.766602	-34.458580
21.533203	-34.382278
32.299805	-34.145863
43.066406	-34.100098
53.833008	-34.520554
64.599609	-34.588409
75.366211	-34.130943
86.132812	-34.349407
96.899414	-33.640717
107.666016	-34.436855
118.432617	-34.252766
129.199219	-34.070049
139.965820	-34.169392
150.732422	-33.834785
161.499023	-33.838627
172.265625	-34.522743
183.032227	-34.400063
193.798828	-33.638554
204.565430	-34.348347
215.332031	-34.314079
226.098633	-34.866024
236.865234	-34.224731
247.631836	-34.346752
258.398438	-34.724937
269.165039	-34.549625
279.931641	-33.411598
290.698242	-34.615273
301.464844	-34.432716
312.231445	-33.793606
322.998047	-33.898563
333.764648	-33.952065
344.531250	-33.159134
355.297852	-33.987671
366.064453	-34.074539
376.831055	-33.992546
387.597656	-34.395905
398.364258	-33.667465
409.130859	-34.200970
419.897461	-33.774235
430.664062	-33.320034
441.430664	-34.356052
452.197266	-34.027542
462.963867	-33.901367
473.730469	-34.189083
484.497070	-34.250988
495.263672	-33.644775
506.030273	-34.092155
516.796875	-33.958565
527.563477	-34.162613
538.330078	-33.802288
549.096680	-34.036438
559.863281	-34.287231
570.629883	-33.941372
581.396484	-34.176540
592.163086	-34.081249
602.929688	-33.814980
613.696289	-33.963276
624.462891	-34.127003
635.229492	-34.392109
645.996094	-33.722694
656.762695	-33.584873
667.529297	-34.503681
678.295898	-34.173279
689.062500	-34.009346
699.829102	-34.045422
710.595703	-33.987488
721.362305	-33.914188
732.128906	-33.689632
742.895508	-34.143326
753.662109	-33.929119
764.428711	-34.303814
775.195312	-33.672421
785.961914	-34.428356
796.728516	-33.703533
807.495117	-34.420403
818.261719	-34.436356
829.028320	-33.321072
839.794922	-34.608418
850.561523	-33.477139
861.328125	-34.175686
872.094727	-33.725143
882.861328	-34.549500
893.627930	-33.529171
904.394531	-34.523769
915.161133	-34.411049
925.927734	-34.067162
936.694336	-34.175652
947.460938	-34.400368
958.227539	-33.425518
968.994141	-34.641376
979.760742	-33.977459
990.527344	-34.185116
1001.293945	-33.797874
1012.060547	-34.479237
1022.827148	-33.859985
1033.593750	-33.472641
1044.360352	-34.319111
1055.126953	-33.382153
1065.893555	-34.051182
1076.660156	-33.992043
1087.426758	-33.504475
1098.193359	-33.741619
1108.959961	-34.401997
1119.726562	-33.505890
1130.493164	-34.590900
1141.259766	-33.777935
1152.026367	-33.639606
1162.792969	-33.883102
1173.559570	-33.095734
1184.326172	-33.658730
1195.092773	-33.968559
1205.859375	-34.369705
1216.625977	-34.748791
1227.392578	-34.536285
1238.159180	-34.477074
1248.925781	-34.855888
1259.692383	-33.937214
1270.458984	-34.287033
1281.225586	-34.451492
1291.992188	-34.178268
1302.758789	-33.559364
1313.525391	-34.147995
1324.291992	-34.070465
1335.058594	-33.988983
1345.825195	-34.250065
1356.591797	-34.333538
1367.358398	-34.000759
1378.125000	-34.365761
1388.891602	-33.617275
1399.658203	-34.294621
1410.424805	-34.682522
1421.191406	-34.120377
1431.958008	-33.509750
1442.724609	-34.175617
1453.491211	-33.965508
1464.257812	-33.917168
1475.024414	-34.236389
1485.791016	-33.250404
1496.557617	-34.088383
1507.324219	-35.328156
1518.090820	-34.547081
1528.857422	-33.943779
1539.624023	-34.537952
1550.390625	-33.799828
1561.157227	-34.239349
1571.923828	-34.225796
1582.690430	-35.241158
1593.457031	-34.659016
1604.223633	-34.140785
1614.990234	-34.181038
1625.756836	-34.169441
1636.523438	-33.820805
1647.290039	-33.700752
1658.056641	-34.180489
1668.823242	-33.564079
1679.589844	-33.945999
1690.356445	-33.643982
1701.123047	-33.638493
1711.889648	-34.132580
1722.656250	-33.555084
1733.422852	-34.126957
1744.189453	-34.195946
1754.956055	-33.854099
1765.722656	-34.648327
1776.489258	-34.087357
1787.255859	-33.887901
1798.022461	-33.963543
1808.789062	-34.168934
1819.555664	-34.044273
1830.322266	-33.659271
1841.088867	-33.396473
1851.855469	-34.299332
1862.622070	-34.029648
1873.388672	-34.382240
1884.155273	-34.458050
1894.921875	-33.884617
1905.688477	-34.466927
1916.455078	-34.013050
1927.221680	-33.947697
1937.988281	-34.486359
1948.754883	-34.496952
1959.521484	-34.283932
1970.288086	-33.938889
1981.054688	-33.708355
1991.821289	-33.916534
2002.587891	-34.238731
2013.354492	-34.218937
2024.121094	-34.196083
2034.887695	-34.380005
2045.654297	-33.990753
2056.420898	-34.113029
2067.187500	-34.435272
2077.954102	-33.288147
2088.720703	-34.403477
2099.487305	-33.625736
2110.253906	-33.724079
2121.020508	-34.383743
2131.787109	-34.057446
2142.553711	-34.393658
2153.320312	-34.311237
2164.086914	-34.079472
2174.853516	-33.984367
2185.620117	-34.134113
2196.386719	-34.426880
2207.153320	-34.064846
2217.919922	-35.138672
2228.686523	-34.203583
2239.453125	-33.857468
2250.219727	-34.425774
2260.986328	-33.490997
