Frequency (Hz)	Level (dB)
21.533203	-33.110252
43.066406	-33.164223
64.599609	-33.613441
86.132812	-33.100513
107.666016	-32.909313
129.199219	-33.034496
150.732422	-32.730286
172.265625	-33.089413
193.798828	-33.319759
215.332031	-33.114346
236.865234	-33.132107
258.398438	-33.336922
279.931641	-33.137371
301.464844	-33.139938
322.998047	-33.216553
344.531250	-33.145271
366.064453	-33.348267
387.597656	-33.147541
409.130859	-32.866760
430.664062	-32.905243
452.197266	-33.070747
473.730469	-33.010033
495.263672	-33.261150
516.796875	-33.187958
538.330078	-33.151665
559.863281	-33.175999
581.396484	-33.194027
602.929688	-33.228699
624.462891	-33.088890
645.996094	-33.356567
667.529297	-33.314411
689.062500	-33.095173
710.595703	-32.944054
732.128906	-33.010532
753.662109	-33.100346
775.195312	-32.943966
796.728516	-33.045464
818.261719	-33.085075
839.794922	-33.094887
861.328125	-33.281116
882.861328	-33.439491
904.394531	-33.235542
925.927734	-33.098419
947.460938	-33.100845
968.994141	-33.003399
990.527344	-33.210869
1012.060547	-33.218311
1033.593750	-33.014027
1055.126953	-33.066601
1076.660156	-33.006798
1098.193359	-33.338867
1119.726562	-33.286530
1141.259766	-33.132244
1162.792969	-33.088608
1184.326172	-33.244480
1205.859375	-33.179630
1227.392578	-33.136333
1248.925781	-33.278088
1270.458984	-33.104065
1291.992188	-33.281456
1313.525391	-33.041859
1335.058594	-32.948311
1356.591797	-33.147434
1378.125000	-33.080204
1399.658203	-33.041515
1421.191406	-33.084587
1442.724609	-33.266922
1464.257812	-33.310070
1485.791016	-33.307339
1507.324219	-33.199295
1528.857422	-33.218750
1550.390625	-33.239723
1571.923828	-33.275341
1593.457031	-33.118584
1614.990234	-33.055214
1636.523438	-33.182640
1658.056641	-33.046299
1679.589844	-33.128399
1701.123047	-32.907837
1722.656250	-33.165001
1744.189453	-33.421715
1765.722656	-33.118347
1787.255859	-32.749409
1808.789062	-32.922760
1830.322266	-32.856815
1851.855469	-33.158852
1873.388672	-33.141678
1894.921875	-33.251705
1916.455078	-33.139519
1937.988281	-32.950680
1959.521484	-33.025936
1981.054688	-32.833366
2002.587891	-32.952991
2024.121094	-33.023338
2045.654297	-32.966358
2067.187500	-33.014515
2088.720703	-33.305370
2110.253906	-33.249100
2131.787109	-33.046009
2153.320312	-33.098171
2174.853516	-33.001404
2196.386719	-33.262798
2217.919922	-33.235825
2239.453125	-33.488693
2260.986328	-33.595383
2282.519531	-33.296597
2304.052734	-33.496758
2325.585938	-33.203876
2347.119141	-33.021542
2368.652344	-33.185764
2390.185547	-33.092388
2411.718750	-32.817665
2433.251953	-32.847801
2454.785156	-33.020824
2476.318359	-33.163475
2497.851562	-32.934566
2519.384766	-32.975273
2540.917969	-33.400536
2562.451172	-33.369038
2583.984375	-33.353867
2605.517578	-33.272030
2627.050781	-33.108162
2648.583984	-33.063896
2670.117188	-32.875843
2691.650391	-32.782124
2713.183594	-33.063419
2734.716797	-33.178173
2756.250000	-33.213131
2777.783203	-33.163460
2799.316406	-33.049053
2820.849609	-32.954441
2842.382812	-33.235115
2863.916016	-33.223221
2885.449219	-33.132099
2906.982422	-33.062527
2928.515625	-32.937149
2950.048828	-33.113853
2971.582031	-33.224602
2993.115234	-33.073963
3014.648438	-33.072178
3036.181641	-32.979248
3057.714844	-33.160522
3079.248047	-33.145252
3100.781250	-33.001072
3122.314453	-33.164646
3143.847656	-33.216145
3165.380859	-32.896671
3186.914062	-32.717091
3208.447266	-32.901302
3229.980469	-33.126888
3251.513672	-33.198925
3273.046875	-33.114105
3294.580078	-32.966393
3316.113281	-33.200073
3337.646484	-32.963573
3359.179688	-32.749771
3380.712891	-33.185673
3402.246094	-33.168064
3423.779297	-33.232407
3445.312500	-33.256741
3466.845703	-32.998466
3488.378906	-32.857449
3509.912109	-33.355438
3531.445312	-33.591339
3552.978516	-33.378590
3574.511719	-33.150536
3596.044922	-33.220196
3617.578125	-33.017895
3639.111328	-32.851753
3660.644531	-33.284168
3682.177734	-33.309467
3703.710938	-33.037296
3725.244141	-32.868946
3746.777344	-33.070198
3768.310547	-32.998035
3789.843750	-33.130791
3811.376953	-33.168507
3832.910156	-33.120159
3854.443359	-33.005085
3875.976562	-33.187599
3897.509766	-33.554214
3919.042969	-33.184906
3940.576172	-32.967903
3962.109375	-32.925858
3983.642578	-33.057091
4005.175781	-33.091656
4026.708984	-33.150372
4048.242188	-33.232784
4069.775391	-33.274426
4091.308594	-33.461990
4112.841797	-33.187370
4134.375000	-32.968662
4155.908203	-32.946945
4177.441406	-33.002911
4198.974609	-32.884811
4220.507812	-33.083809
4242.041016	-33.353996
4263.574219	-33.176567
4285.107422	-33.107327
4306.640625	-33.151119
4328.173828	-33.076328
4349.707031	-32.967754
4371.240234	-32.921391
4392.773438	-33.307663
4414.306641	-33.271355
4435.839844	-33.205738
4457.373047	-33.094101
4478.906250	-33.129860
4500.439453	-33.162552
4521.972656	-33.190063
4543.505859	-33.056129
4565.039062	-32.775509
4586.572266	-33.021332
4608.105469	-32.944942
4629.638672	-32.843952
4651.171875	-32.951996
4672.705078	-33.127613
4694.238281	-33.107208
4715.771484	-32.999447
4737.304688	-33.107838
4758.837891	-33.355602
4780.371094	-33.284962
4801.904297	-33.208935
4823.437500	-33.132133
4844.970703	-33.159832
4866.503906	-33.393948
4888.037109	-33.149620
4909.570312	-33.082920
4931.103516	-33.384243
4952.636719	-33.318836
4974.169922	-33.422497
4995.703125	-33.359509
5017.236328	-33.050949
5038.769531	-33.053951
5060.302734	-33.046047
5081.835938	-33.182388
5103.369141	-33.358150
5124.902344	-33.305264
5146.435547	-33.228077
5167.968750	-33.270138
5189.501953	-33.081387
5211.035156	-33.122456
5232.568359	-33.090786
5254.101562	-33.219692
5275.634766	-33.230301
5297.167969	-33.053852
5318.701172	-32.989182
5340.234375	-33.048046
5361.767578	-33.078854
5383.300781	-33.423748
5404.833984	-33.319069
5426.367188	-32.948402
5447.900391	-32.886414
5469.433594	-33.019733
5490.966797	-33.088203
5512.500000	-32.986038
5534.033203	-33.204357
5555.566406	-33.113194
5577.099609	-32.907173
5598.632812	-32.994667
5620.166016	-33.003475
5641.699219	-32.869244
5663.232422	-33.049179
5684.765625	-33.318432
5706.298828	-33.388390
5727.832031	-33.240025
5749.365234	-33.089642
5770.898438	-33.384991
5792.431641	-33.333984
5813.964844	-33.303326
5835.498047	-33.310123
5857.031250	-33.239044
5878.564453	-33.115967
5900.097656	-33.144253
5921.630859	-32.936993
5943.164062	-33.002728
5964.697266	-33.017742
5986.230469	-32.933922
6007.763672	-32.996002
6029.296875	-33.263542
6050.830078	-33.292564
6072.363281	-32.927303
6093.896484	-33.021767
6115.429688	-33.200222
6136.962891	-33.405827
6158.496094	-33.135582
6180.029297	-33.100628
6201.562500	-33.136612
6223.095703	-33.186066
6244.628906	-32.983498
6266.162109	-32.780609
6287.695312	-32.940052
6309.228516	-32.963158
6330.761719	-33.210720
6352.294922	-33.295776
6373.828125	-33.157120
6395.361328	-32.997169
6416.894531	-32.965275
6438.427734	-33.148006
6459.960938	-33.136169
6481.494141	-33.328712
6503.027344	-32.972874
6524.560547	-33.001125
6546.093750	-33.098049
6567.626953	-33.568531
6589.160156	-33.326244
6610.693359	-33.040020
6632.226562	-33.058567
6653.759766	-33.174427
6675.292969	-33.191666
6696.826172	-33.258125
6718.359375	-33.147411
6739.892578	-32.752598
6761.425781	-32.935047
6782.958984	-33.344814
6804.492188	-33.043533
6826.025391	-32.687782
6847.558594	-33.087093
6869.091797	-33.042702
6890.625000	-33.073864
6912.158203	-33.123085
6933.691406	-33.097797
6955.224609	-33.136116
6976.757812	-33.024483
6998.291016	-32.975136
7019.824219	-32.834160
7041.357422	-33.001286
7062.890625	-33.317070
7084.423828	-33.498127
7105.957031	-33.539158
7127.490234	-33.402531
7149.023438	-33.210167
7170.556641	-33.352936
7192.089844	-33.385807
7213.623047	-33.190407
7235.156250	-33.211288
7256.689453	-33.267296
7278.222656	-33.176609
7299.755859	-33.179115
7321.289062	-33.153080
7342.822266	-33.006233
7364.355469	-33.112209
7385.888672	-33.103397
7407.421875	-33.128506
7428.955078	-33.154099
7450.488281	-33.189674
7472.021484	-32.859180
7493.554688	-32.910275
7515.087891	-33.140415
7536.621094	-33.021053
7558.154297	-33.046432
7579.687500	-32.830132
7601.220703	-32.856171
7622.753906	-33.154842
7644.287109	-33.299694
7665.820312	-33.040562
7687.353516	-32.886749
7708.886719	-32.952126
7730.419922	-33.029823
7751.953125	-33.157112
7773.486328	-33.246765
7795.019531	-32.885933
7816.552734	-32.907795
7838.085938	-33.138809
7859.619141	-33.156597
7881.152344	-32.909370
7902.685547	-33.021694
7924.218750	-33.237297
7945.751953	-33.083042
7967.285156	-33.130772
7988.818359	-33.134766
8010.351562	-33.237804
8031.884766	-33.358479
8053.417969	-33.282661
8074.951172	-33.022194
8096.484375	-32.810009
8118.017578	-33.075340
8139.550781	-33.331619
8161.083984	-33.171131
8182.617188	-33.160416
8204.150391	-33.329563
8225.683594	-33.227989
8247.216797	-33.426895
8268.750000	-33.134567
8290.283203	-32.902439
8311.816406	-33.044502
8333.349609	-33.263592
8354.882812	-32.972782
8376.416016	-33.117458
8397.949219	-33.243179
8419.482422	-32.998703
8441.015625	-32.961002
8462.548828	-32.981869
8484.082031	-32.951603
8505.615234	-32.938389
8527.148438	-33.068264
8548.681641	-33.115677
8570.214844	-32.988953
8591.748047	-33.039925
8613.281250	-32.756687
8634.814453	-32.890011
8656.347656	-33.118294
8677.880859	-32.906250
8699.414062	-32.963387
8720.947266	-33.028404
8742.480469	-32.977528
8764.013672	-33.072495
8785.546875	-33.270985
8807.080078	-33.154804
